# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
50  1.006188e-03  5.557485e-03  1.299179e-02  1.005749e-03  5.557910e-03  1.299140e-02  4.382745e-07
51  -7.825910e-04  -4.890638e-03  -1.305683e-02  -7.810633e-04  -4.892207e-03  -1.305951e-02  2.684928e-06
52  8.989579e-03  4.058419e-03  1.063423e-03  8.988728e-03  4.056332e-03  1.064299e-03  2.087057e-06
53  -7.770775e-03  -5.018429e-03  2.753942e-03  -7.768027e-03  -5.018674e-03  2.755202e-03  2.747361e-06
54  -5.540335e-02  -2.871996e-02  -2.287331e-02  -5.539891e-02  -2.871617e-02  -2.287065e-02  4.439793e-06
55  5.645829e-02  2.876270e-02  2.069103e-02  5.645337e-02  2.876269e-02  2.068868e-02  4.921344e-06
56  3.845625e-03  -3.657544e-03  1.813121e-03  3.847488e-03  -3.660238e-03  1.814828e-03  2.693664e-06
57  -5.145711e-03  1.751128e-03  -9.156657e-05  -5.147434e-03  1.751615e-03  -9.646078e-05  4.894209e-06
58  -2.723223e-02  -2.579033e-02  -2.091008e-02  -2.723224e-02  -2.579071e-02  -2.090975e-02  3.834841e-07
59  2.741511e-02  2.715574e-02  2.086447e-02  2.741616e-02  2.715497e-02  2.086338e-02  1.082822e-06
60  -3.773082e-02  2.923137e-02  3.077734e-02  -3.772827e-02  2.923044e-02  3.077544e-02  2.543423e-06
61  3.532684e-02  -3.050721e-02  -3.080400e-02  3.532450e-02  -3.050561e-02  -3.080307e-02  2.346749e-06
62  -2.939442e-02  -2.897481e-03  1.054109e-02  -2.939137e-02  -2.897746e-03  1.054094e-02  3.059487e-06
63  2.848799e-02  2.411788e-03  -1.070993e-02  2.848463e-02  2.410449e-03  -1.070972e-02  3.364809e-06
64  1.854855e-03  8.732747e-04  -2.164839e-03  1.854802e-03  8.742094e-04  -2.163070e-03  1.769601e-06
65  -2.902824e-03  -3.262060e-03  -4.232185e-04  -2.903715e-03  -3.263193e-03  -4.274025e-04  4.184019e-06
66  2.459554e-03  2.744196e-03  -7.240433e-03  2.461291e-03  2.745500e-03  -7.238975e-03  1.736960e-06
67  -1.933530e-03  -4.409472e-03  6.858064e-03  -1.932734e-03  -4.411424e-03  6.856714e-03  1.951216e-06
68  8.734010e-03  1.973943e-03  3.294690e-04  8.735481e-03  1.975043e-03  3.300627e-04  1.471427e-06
69  -6.824382e-03  -3.169046e-03  -7.576355e-04  -6.824759e-03  -3.168474e-03  -7.592360e-04  1.600493e-06
70  -7.339140e-03  -4.013974e-02  -1.485547e-02  -7.340216e-03  -4.014062e-02  -1.485416e-02  1.307066e-06
71  6.139617e-03  3.898197e-02  1.515825e-02  6.139258e-03  3.898147e-02  1.515938e-02  1.127934e-06
72  1.244376e-02  1.717741e-03  3.950526e-04  1.244637e-02  1.717473e-03  3.981973e-04  3.144752e-06
73  -1.226796e-02  -4.773158e-03  -1.118438e-03  -1.226735e-02  -4.774933e-03  -1.120401e-03  1.962739e-06
74  -4.275892e-03  -6.944599e-03  -4.610063e-03  -4.272063e-03  -6.940330e-03  -4.607966e-03  4.268607e-06
75  3.467725e-03  5.627687e-03  2.986298e-03  3.466670e-03  5.626233e-03  2.987534e-03  1.454262e-06
76  -6.623943e-03  -1.083253e-02  -1.308781e-02  -6.622231e-03  -1.083333e-02  -1.308748e-02  1.711676e-06
77  4.880781e-03  7.682863e-03  1.479662e-02  4.880586e-03  7.683173e-03  1.479750e-02  8.778720e-07
78  -2.013489e-03  1.110975e-03  -1.207999e-03  -2.014982e-03  1.111439e-03  -1.207356e-03  1.493507e-06
79  7.399002e-04  1.045742e-03  2.574957e-03  7.393612e-04  1.046625e-03  2.577147e-03  2.189877e-06
80  1.756703e-03  4.053944e-02  -1.325779e-02  1.756326e-03  4.053463e-02  -1.325904e-02  4.810311e-06
81  -1.699069e-03  -4.068795e-02  1.253657e-02  -1.698579e-03  -4.068089e-02  1.253582e-02  7.051493e-06
82  -3.802947e-03  -1.014716e-02  3.287827e-03  -3.802290e-03  -1.014672e-02  3.289382e-03  1.555077e-06
83  3.899085e-03  1.005867e-02  -3.523845e-03  3.900797e-03  1.006044e-02  -3.523577e-03  1.766021e-06
84  -4.869199e-03  1.061603e-02  6.584969e-03  -4.868012e-03  1.061492e-02  6.583223e-03  1.746236e-06
85  5.102586e-03  -9.481094e-03  -2.554302e-03  5.099498e-03  -9.479887e-03  -2.551168e-03  3.134483e-06
86  2.592071e-03  2.049164e-03  2.542776e-03  2.595028e-03  2.052636e-03  2.542309e-03  3.472876e-06
87  -2.634941e-03  -1.115265e-03  -3.191955e-03  -2.633448e-03  -1.114754e-03  -3.190579e-03  1.492420e-06
88  2.288542e-03  -2.300725e-04  1.937214e-03  2.291522e-03  -2.299113e-04  1.940127e-03  2.979255e-06
89  -3.215610e-03  1.400740e-03  -1.481854e-03  -3.212996e-03  1.401219e-03  -1.482631e-03  2.614052e-06
90  6.978739e-03  3.306371e-03  -2.095789e-03  6.978924e-03  3.309550e-03  -2.096221e-03  3.178186e-06
91  -5.756835e-03  -2.882517e-03  1.720149e-03  -5.761790e-03  -2.882885e-03  1.721224e-03  4.955973e-06
92  -1.361003e-02  6.950866e-04  -6.449391e-03  -1.360956e-02  6.957389e-04  -6.449835e-03  6.522556e-07
93  1.403979e-02  -7.922161e-04  6.982881e-03  1.404103e-02  -7.903194e-04  6.982036e-03  1.896739e-06
94  3.336041e-02  1.071068e-02  3.559523e-02  3.335954e-02  1.070849e-02  3.559559e-02  2.189112e-06
95  -3.432984e-02  -9.782894e-03  -3.418621e-02  -3.433310e-02  -9.781797e-03  -3.418964e-02  3.433773e-06
96  2.596354e-03  9.441257e-04  -1.837672e-02  2.597955e-03  9.449960e-04  -1.837352e-02  3.206652e-06
97  -4.360324e-03  -1.902221e-03  1.914315e-02  -4.362991e-03  -1.903172e-03  1.914203e-02  2.666832e-06
98  9.073405e-03  5.952606e-03  -8.650218e-04  9.073990e-03  5.953192e-03  -8.661959e-04  1.174078e-06
99  -6.871231e-03  -5.767565e-03  2.036758e-03  -6.872912e-03  -5.766774e-03  2.036724e-03  1.681490e-06
