# Per-particle forces (Hartree/Bohr). Reference: cav-hoomd.
# particle  Fx_openmm  Fy_openmm  Fz_openmm  Fx_hoomd  Fy_hoomd  Fz_hoomd  max_abs_diff
50  9.208501e-04  5.472429e-03  1.299247e-02  9.204548e-04  5.472615e-03  1.299140e-02  1.067944e-06
51  -6.972564e-04  -4.805591e-03  -1.305750e-02  -6.957687e-04  -4.806912e-03  -1.305951e-02  2.010201e-06
52  8.905554e-03  3.973814e-03  1.063438e-03  8.903434e-03  3.971037e-03  1.064299e-03  2.776347e-06
53  -7.686760e-03  -4.933818e-03  2.753910e-03  -7.682733e-03  -4.933379e-03  2.755202e-03  4.026937e-06
54  -5.548864e-02  -2.880526e-02  -2.287331e-02  -5.548421e-02  -2.880147e-02  -2.287065e-02  4.438822e-06
55  5.654357e-02  2.884800e-02  2.069104e-02  5.653866e-02  2.884799e-02  2.068868e-02  4.915047e-06
56  3.760333e-03  -3.742850e-03  1.813121e-03  3.762193e-03  -3.745533e-03  1.814828e-03  2.682184e-06
57  -5.060418e-03  1.836415e-03  -9.156084e-05  -5.062139e-03  1.836909e-03  -9.646078e-05  4.899937e-06
58  -2.731822e-02  -2.587615e-02  -2.091046e-02  -2.731753e-02  -2.587601e-02  -2.090975e-02  7.136382e-07
59  2.750107e-02  2.724158e-02  2.086484e-02  2.750146e-02  2.724027e-02  2.086338e-02  1.454829e-06
60  -3.781281e-02  2.914343e-02  3.077459e-02  -3.781357e-02  2.914515e-02  3.077544e-02  1.721908e-06
61  3.540881e-02  -3.041927e-02  -3.080125e-02  3.540979e-02  -3.042031e-02  -3.080307e-02  1.819214e-06
62  -2.947992e-02  -2.982773e-03  1.054116e-02  -2.947666e-02  -2.983040e-03  1.054094e-02  3.257476e-06
63  2.857349e-02  2.497086e-03  -1.070999e-02  2.856992e-02  2.495744e-03  -1.070972e-02  3.567227e-06
64  1.769522e-03  7.883858e-04  -2.164738e-03  1.769507e-03  7.889148e-04  -2.163070e-03  1.668088e-06
65  -2.817499e-03  -3.177142e-03  -4.233120e-04  -2.818421e-03  -3.177899e-03  -4.274025e-04  4.090517e-06
66  2.373755e-03  2.658280e-03  -7.239234e-03  2.375996e-03  2.660205e-03  -7.238975e-03  2.241012e-06
67  -1.847733e-03  -4.323557e-03  6.856852e-03  -1.847440e-03  -4.326129e-03  6.856714e-03  2.572287e-06
68  8.648513e-03  1.888588e-03  3.294840e-04  8.650187e-03  1.889749e-03  3.300627e-04  1.673550e-06
69  -6.738887e-03  -3.083686e-03  -7.576638e-04  -6.739465e-03  -3.083180e-03  -7.592360e-04  1.572208e-06
70  -7.424545e-03  -4.022564e-02  -1.485562e-02  -7.425511e-03  -4.022591e-02  -1.485416e-02  1.457224e-06
71  6.225012e-03  3.906785e-02  1.515839e-02  6.224553e-03  3.906677e-02  1.515938e-02  1.086321e-06
72  1.235866e-02  1.632509e-03  3.950671e-04  1.236107e-02  1.632179e-03  3.981973e-04  3.130227e-06
73  -1.218287e-02  -4.687926e-03  -1.118467e-03  -1.218206e-02  -4.689639e-03  -1.120401e-03  1.933815e-06
74  -4.359935e-03  -7.027372e-03  -4.608481e-03  -4.357357e-03  -7.025625e-03  -4.607966e-03  2.577289e-06
75  3.551756e-03  5.710457e-03  2.984700e-03  3.551965e-03  5.711528e-03  2.987534e-03  2.834311e-06
76  -6.709451e-03  -1.091815e-02  -1.308826e-02  -6.707526e-03  -1.091862e-02  -1.308748e-02  1.924874e-06
77  4.966298e-03  7.768514e-03  1.479708e-02  4.965881e-03  7.768467e-03  1.479750e-02  4.185831e-07
78  -2.099900e-03  1.024897e-03  -1.208756e-03  -2.100277e-03  1.026145e-03  -1.207356e-03  1.400596e-06
79  8.262935e-04  1.131814e-03  2.575716e-03  8.246558e-04  1.131919e-03  2.577147e-03  1.637769e-06
80  1.671061e-03  4.044784e-02  -1.325566e-02  1.671031e-03  4.044933e-02  -1.325904e-02  3.378254e-06
81  -1.613437e-03  -4.059635e-02  1.253443e-02  -1.613285e-03  -4.059560e-02  1.253582e-02  1.391348e-06
82  -3.887806e-03  -1.023160e-02  3.287436e-03  -3.887584e-03  -1.023201e-02  3.289382e-03  1.945209e-06
83  3.983943e-03  1.014312e-02  -3.523453e-03  3.986092e-03  1.014573e-02  -3.523577e-03  2.614390e-06
84  -4.954441e-03  1.053066e-02  6.584937e-03  -4.953306e-03  1.052963e-02  6.583223e-03  1.714557e-06
85  5.187866e-03  -9.395714e-03  -2.554240e-03  5.184793e-03  -9.394593e-03  -2.551168e-03  3.073441e-06
86  2.996120e-03  2.135565e-03  3.139393e-03  2.509733e-03  1.967342e-03  2.542309e-03  5.970840e-04
87  -3.038984e-03  -1.201666e-03  -3.788571e-03  -2.548154e-03  -1.029460e-03  -3.190579e-03  5.979922e-04
88  2.203249e-03  -3.153631e-04  1.937214e-03  2.206227e-03  -3.152059e-04  1.940127e-03  2.978236e-06
89  -3.130316e-03  1.486035e-03  -1.481855e-03  -3.127701e-03  1.486513e-03  -1.482631e-03  2.614940e-06
90  6.893610e-03  3.221173e-03  -2.095843e-03  6.893630e-03  3.224255e-03  -2.096221e-03  3.081520e-06
91  -5.671712e-03  -2.797317e-03  1.720204e-03  -5.676496e-03  -2.797591e-03  1.721224e-03  4.783689e-06
92  -1.369495e-02  6.098028e-04  -6.449224e-03  -1.369486e-02  6.104443e-04  -6.449835e-03  6.414935e-07
93  1.412472e-02  -7.069290e-04  6.982708e-03  1.412633e-02  -7.050248e-04  6.982036e-03  1.904185e-06
94  3.327580e-02  1.062558e-02  3.559596e-02  3.327424e-02  1.062320e-02  3.559559e-02  2.382089e-06
95  -3.424523e-02  -9.697779e-03  -3.418692e-02  -3.424781e-02  -9.696502e-03  -3.418964e-02  2.715989e-06
96  2.511378e-03  8.589504e-04  -1.837830e-02  2.512661e-03  8.597014e-04  -1.837352e-02  4.779387e-06
97  -4.275369e-03  -1.817042e-03  1.914473e-02  -4.277696e-03  -1.817877e-03  1.914203e-02  2.700149e-06
98  8.987594e-03  5.866960e-03  -8.649315e-04  8.988695e-03  5.867897e-03  -8.661959e-04  1.264429e-06
99  -6.785431e-03  -5.681927e-03  2.036668e-03  -6.787617e-03  -5.681479e-03  2.036724e-03  2.186830e-06
100  1.947472e-02  -2.596824e-02  2.065426e-02  1.947460e-02  -2.596838e-02  2.065514e-02  8.774634e-07
