# F(k,t) correlation function
# Reference time: 0.100 ps
# lag_time_ps	F(k,t)
0.000000	38143.53516257
0.100000	247.93022574
0.200000	5117.06539110
0.300000	-45.51356786
0.400000	6391.88625550
0.500000	-7759.72144414
0.600000	3500.40950129
0.700000	-4832.85258543
0.800000	-7115.32222675
0.900000	-2019.21723923
1.000000	283.85467998
1.100000	-6912.07611552
1.200000	3564.87668738
1.300000	1730.48444506
1.400000	-999.05668007
1.500000	4955.54991435
1.600000	-2308.38901706
1.700000	-2947.05920637
1.800000	3212.03375568
1.900000	-1945.68889754
2.000000	721.16543862
2.100000	1865.63309100
2.200000	-2843.75629983
2.300000	-455.85069354
2.400000	-4871.88780914
2.500000	3699.89991600
2.600000	3168.89194231
2.700000	-1576.35570644
2.800000	1238.62847809
2.900000	-9015.60416155
3.000000	699.76530530
3.100000	-4412.57992182
3.200000	-5534.88873498
3.300000	-4127.68243441
3.400000	3185.03667633
3.500000	-526.92962065
3.600000	6326.63221562
3.700000	-5053.45942092
3.800000	-3798.74613599
3.900000	386.65872103
4.000000	1966.76327752
4.100000	-6683.80444479
4.200000	-541.45459796
4.300000	-443.29204826
4.400000	-1559.46625465
4.500000	-458.48571613
4.600000	6088.96166485
4.700000	773.70086587
4.800000	-1350.02976520
4.900000	-1634.68901307
5.000000	3529.24292937
5.100000	1577.17566655
5.200000	-4551.44195297
5.300000	-2502.35336328
5.400000	-2373.42222074
5.500000	1309.42234920
5.600000	331.32408109
5.700000	843.33736852
5.800000	3216.53007955
5.900000	-3271.78262992
6.000000	3676.14512229
6.100000	1310.28283736
6.200000	4653.39685283
6.300000	7939.39044097
6.400000	-1392.44123579
6.500000	-4235.41278744
6.600000	-5665.69742679
6.700000	-754.43842614
6.800000	2259.33734929
6.900000	-5944.73078758
7.000000	-7777.47716863
7.100000	-1012.86756313
7.200000	-2568.31166230
7.300000	-5279.97877475
7.400000	-898.54821344
7.500000	-3212.81882711
7.600000	-1853.52724959
7.700000	6360.60053627
7.800000	-2929.19293151
7.900000	10623.56478383
8.000000	1671.28177636
8.100000	3978.85158444
8.200000	2698.59376976
8.300000	71.81095488
8.400000	-4283.99207650
8.500000	-1210.96141102
8.600000	-702.25418546
8.700000	-885.49239968
8.800000	-529.54637126
8.900000	2353.60659533
9.000000	756.34778877
9.100000	1003.22829286
9.200000	2625.19387666
9.300000	1749.24921877
9.400000	-367.19768125
9.500000	-54.79241732
9.600000	-3724.97023560
9.700000	-8759.18168980
9.800000	-388.19447192
9.900000	-3030.44631665
10.000000	-2289.45240953
10.100000	-2974.82940487
10.200000	-3120.83786476
10.300000	-4872.62251653
10.400000	-2642.63412608
10.500000	2252.30068142
10.600001	3040.73407750
10.700001	-653.72499012
10.800001	-2512.09272344
10.900001	3211.84099396
11.000001	-2979.84500240
11.100001	-4128.74506489
11.200001	-2482.26534552
11.300001	4094.98682535
11.400001	1832.53328861
11.500001	3269.65728048
