# Real-time dipole moment data
# time_ps dipole_x dipole_y dipole_z
0.000000 -1397.706624 1399.491544 2740.262936
0.000250 145.722771 1537.364662 844.051563
0.000500 866.069924 2776.781163 1716.323586
0.000750 -1915.181614 662.786590 2708.618414
0.001000 252.634482 525.556593 621.100823
0.001250 -888.896671 -1297.140443 -197.022266
0.001500 427.108668 513.738238 1148.648611
0.001750 -470.839010 1619.685100 2736.571892
0.002000 -2404.578495 368.829917 3521.652764
0.002250 405.751695 1241.792804 1796.703924
0.002500 -1338.900867 115.763813 3246.387640
0.002750 1277.946076 638.005938 496.416445
0.003000 -681.896314 2372.839605 4179.577721
0.003250 221.488455 578.642353 807.308758
0.003500 45.573605 -65.530297 894.045178
0.003750 1493.151335 -846.154017 -1427.171188
0.004000 3068.484381 -595.284899 -3624.059850
0.004250 1620.128723 432.973582 -995.196305
0.004500 -1296.332506 721.799903 2624.904059
0.004750 -784.835617 -676.567551 1095.374921
0.005000 2844.734650 -861.802391 -2334.667807
0.005250 215.036497 -145.182281 2558.463848
0.005500 986.529875 876.340525 2593.544939
0.005750 3020.506569 -194.014319 -709.835735
0.006000 -311.936336 -255.230187 2429.289374
0.006250 -1677.423179 701.099224 4765.564773
0.006500 3196.370412 160.668801 -1350.924537
0.006750 202.768554 267.272436 1839.103631
0.007000 1542.394215 601.130632 1118.254830
0.007250 1345.035125 559.138225 1605.022598
0.007500 555.302300 -145.080450 1571.220151
0.007750 181.162450 -329.791114 1986.179218
0.008000 -541.314311 1236.603460 4497.101423
0.008250 1401.285068 -1123.744534 -832.998875
0.008500 1142.713781 475.107438 1589.343310
0.008750 710.277389 788.868947 2339.088836
0.009000 792.340677 2392.137351 2899.774309
0.009250 672.874314 550.940399 931.730778
0.009500 -283.646448 668.487957 1891.788617
0.009750 342.557011 2877.137876 1797.382388
0.010000 -308.722266 2787.771772 3622.387341
0.010250 1664.161472 2541.130624 1469.174184
0.010500 -109.720601 3226.137724 3257.886359
0.010750 1282.357934 1347.257176 -16.806977
0.011000 1785.407472 1838.064920 532.677896
0.011250 120.459880 2644.606042 2463.895580
0.011500 1123.227832 1981.643141 1129.771589
0.011750 1887.778265 2030.356203 1029.513075
0.012000 879.081694 755.859446 514.117407
0.012250 3994.193787 -441.388731 -449.957341
0.012500 558.103224 1371.787565 2637.162879
0.012750 886.186892 809.461552 1011.591853
0.013000 -1957.309551 1929.631741 5532.712803
0.013250 689.330768 2131.674529 1592.301011
0.013500 529.324012 3171.104587 2149.612826
0.013750 19.718006 2714.944932 3302.101280
0.014000 -235.545557 2420.066483 3235.223436
0.014250 1058.800401 2534.025251 2512.422144
0.014500 1605.340876 712.879140 628.848538
0.014750 1908.591997 603.519082 599.724942
0.015000 957.658506 778.624639 1138.233965
0.015250 528.039060 2039.272786 2399.612916
0.015500 -254.665932 308.178639 2026.561322
0.015750 154.649718 -1621.138650 45.853764
0.016000 554.240694 1764.992089 3484.351307
0.016250 4806.091287 -3472.803951 -7556.883953
0.016500 1984.422651 1028.419652 3706.284988
0.016750 1352.419833 -225.658516 2540.301043
0.017000 1141.664730 -976.633198 2214.336221
0.017250 1828.269508 -3328.865544 -730.931614
0.017500 -187.292249 -2929.124149 1361.527776
0.017750 -609.285211 -2214.361321 2719.176180
0.018000 -134.051808 -2103.165313 2426.383433
0.018250 -373.350547 -3110.837730 1327.496311
0.018500 1126.344441 185.159875 2457.641373
0.018750 -18.393538 349.195893 2596.418596
0.019000 1023.020070 -665.720383 465.991076
0.019250 2427.119419 -314.354060 -49.713250
0.019500 1501.825349 -569.533749 -55.164115
0.019750 285.754925 2302.578653 4173.964643
0.020000 1208.199295 391.678406 955.751560
0.020250 -61.570050 737.993136 3091.293329
0.020500 1420.557584 -737.128920 210.985748
0.020750 1428.042611 405.674499 2448.929058
0.021000 1143.618428 681.513478 3236.926970
0.021250 1706.465349 1868.633913 3169.102252
0.021500 -3347.902892 -578.178556 4668.054266
0.021750 252.348507 735.861213 1192.229124
0.022000 -2177.872395 1649.824295 4383.381253
0.022250 -937.288892 2623.333922 3362.134905
0.022500 18.959463 751.983163 2440.543030
0.022750 736.412964 1459.245876 3531.468349
0.023000 2511.311675 132.135897 -998.655406
0.023250 1578.619731 1503.210620 2011.118291
0.023500 -12.301602 -374.008026 1843.738727
0.023750 -480.876631 -237.685057 2191.685134
0.024000 -599.826643 501.340195 2739.820228
0.024250 1280.945682 -326.179961 1618.179611
0.024500 2565.487194 -1240.469660 -1356.330678
0.024750 1230.413948 -740.810102 2357.491413
0.025000 437.496273 -367.144412 3416.934030
0.025250 1057.737025 -2553.755437 589.424833
0.025500 -671.130685 -3300.906205 3727.861126
0.025750 2241.867502 -1064.188137 2023.977896
0.026000 2669.746435 -3147.758940 336.614433
0.026250 -993.623183 -1960.725282 5224.366676
0.026500 -638.726033 -1394.136150 4612.578442
0.026750 -1020.117788 -569.349429 5372.735175
0.027000 -669.215960 -491.288068 3792.114520
0.027250 1835.485804 326.191627 1158.017200
0.027500 2404.723207 271.896477 140.687597
0.027750 3010.572756 -207.235116 -1609.432762
0.028000 1320.377107 3188.843542 2655.429110
0.028250 -202.471205 1947.649740 2652.632256
0.028500 436.716268 2221.031774 1050.869807
0.028750 696.425666 2113.059163 994.341842
0.029000 -4329.283331 3678.153720 8022.231498
0.029250 -479.482516 2461.386873 2214.043987
0.029500 -749.316635 4344.636968 3870.661927
0.029750 1886.330199 1468.486570 -691.481538
0.030000 -608.159702 2069.712962 4094.006959
0.030250 474.851630 1820.156878 1713.160673
0.030500 1826.110569 611.150624 -800.249924
0.030750 1700.562051 1425.369298 471.995710
0.031000 2224.714713 3386.916550 2830.819366
0.031250 70.380449 1345.164414 2888.157462
0.031500 944.222201 1063.070907 1915.795570
0.031750 966.224970 332.745031 1214.917702
0.032000 1964.827031 996.375345 1843.365880
0.032250 1656.378097 1614.360485 1582.674371
0.032500 -4124.856652 4814.412798 11722.795041
0.032750 2389.896805 3796.195424 2589.135321
0.033000 1554.741295 1174.543016 1348.933486
0.033250 -779.439761 1336.934126 3845.239114
0.033500 -956.346991 1854.670533 6059.507514
0.033750 43.575984 1861.289206 3625.668340
0.034000 880.367641 407.612066 2345.359703
0.034250 1751.938134 331.696901 2719.934175
0.034500 225.211306 978.038601 5166.577974
0.034750 1319.281813 -89.796643 479.658003
0.035000 -1221.680686 1130.811787 4051.346472
0.035250 -393.111257 257.125619 1911.905456
0.035500 1900.346351 2231.667068 1319.326623
0.035750 1136.103863 948.812066 1597.567754
0.036000 3632.443544 1906.703727 -1087.341944
0.036250 4375.834981 -419.051468 -3192.864079
0.036500 -1075.078800 401.794777 3890.416398
0.036750 5146.952302 -1445.308945 -5155.940606
0.037000 1986.677322 543.073737 360.096375
0.037250 1937.655314 1498.122015 857.133515
0.037500 1133.638245 3652.525369 4458.625870
0.037750 -1801.913265 1063.628121 3682.158921
0.038000 -2520.146656 47.223778 3090.992113
0.038250 825.540705 -347.783059 -468.391484
0.038500 235.626060 56.731375 951.683940
0.038750 1832.945601 800.070720 -435.044833
0.039000 -258.127099 895.449852 4013.996356
0.039250 -683.740064 1778.733373 3626.548229
0.039500 1172.267140 907.287611 2397.774965
0.039750 -4159.193527 3466.773510 10322.123177
0.040000 -3238.667172 1574.012482 9693.815846
0.040250 4793.053214 5163.634230 1979.974795
0.040500 -154.366130 2326.113908 3047.152517
0.040750 -1039.772261 3968.142780 5086.010705
