# F(k,t) correlation function
# Reference time: 800.142 ps
# lag_time_ps	F(k,t)
0.000000	497.28905056
0.100000	74.39113092
0.200000	-5.89986213
0.300000	90.84468173
0.400000	-33.31382581
0.500000	21.54701652
0.600000	-31.63700715
0.700000	-8.92648748
0.800000	29.23592739
0.900000	1.06962988
1.000000	-39.22774795
1.100000	-8.20615189
1.200000	-24.81482767
1.300000	-40.21090454
1.400000	-65.91782548
1.500000	-64.69517589
1.600000	-14.74821543
1.700000	66.20102106
1.800000	18.95698567
1.900000	20.26883062
2.000000	0.96177260
2.100000	18.15619284
2.200000	-33.68267024
2.300000	97.99754724
2.400000	-21.70115726
2.500000	1.66088724
2.600000	-0.16686406
2.700000	-81.43748227
2.800000	56.46278040
2.900000	48.16020391
3.000000	-90.05160153
3.100000	-37.83720388
3.200000	-10.87435446
3.300000	-8.75899409
3.400000	28.15960256
3.500000	21.58502967
3.600000	3.52855538
3.700000	-13.13815770
3.800000	-76.95332218
3.900000	56.18076939
4.000000	-20.16458175
4.100000	-26.80681503
4.200000	-9.08132277
4.300000	-44.33800084
4.400000	-20.20954432
4.500000	29.57392780
4.600000	22.40879615
4.700000	5.04497547
4.800000	22.27423130
4.900000	44.53163132
5.000000	13.83277465
5.100000	-2.60929818
5.200000	35.02332468
5.300000	12.26434270
5.400000	70.14671720
5.500000	60.39111961
5.600000	-65.06093267
5.700000	13.45952841
5.800000	22.51442019
5.900000	70.18242117
6.000000	-79.15078952
6.100000	-46.18682176
6.200000	-4.98566645
6.300000	-69.42529106
6.400000	-46.15893959
6.500000	28.33476258
6.600000	42.55841791
6.700000	-14.28170520
6.800000	-12.95032211
6.900000	60.62123758
7.000000	17.12244439
7.100000	-1.89406838
7.200000	52.65333354
7.300000	30.05297552
7.400000	-34.12674945
7.500000	-59.29575254
7.600000	-3.17579726
7.700000	-47.93547747
7.800000	31.74321691
7.900000	-29.80696399
8.000000	-40.00581384
8.100000	55.53950159
8.200000	17.48583946
8.300000	-13.49899808
8.400000	34.92793060
8.500000	82.68302032
8.600000	-39.93692242
8.700000	19.63217988
8.800000	-3.96521352
8.900000	-1.78797800
9.000000	45.36567323
9.100000	38.64974143
9.200000	-50.29244008
9.300000	-23.62525556
9.400000	44.99831885
9.500000	15.98792091
9.600000	85.46710127
9.700000	18.31036770
9.800000	-40.21757414
9.900000	50.38288012
10.000000	19.13691714
10.100000	70.41141104
10.200000	41.30998417
10.300000	-74.90389568
10.400000	-48.76306211
10.500000	-12.35168760
10.600001	41.96600923
10.700001	0.07092022
10.800001	20.15468696
10.900001	0.59385010
11.000001	-48.57539043
11.100001	-29.95005248
11.200001	57.43135683
11.300001	38.73664753
11.400001	-38.41476504
11.500001	-22.05946108
11.600001	36.85925663
11.700001	-11.99771547
11.800001	-2.35242116
11.900001	-70.04343273
12.000001	3.95074831
12.100001	40.32633953
12.200001	-73.76311381
12.300001	-42.93482285
12.400001	8.87046010
12.500001	-17.53307858
12.600001	-13.41972099
12.700001	13.81873464
12.800001	27.98224849
12.900001	76.20350957
13.000001	12.43555694
13.100001	18.74259599
13.200001	-11.79856637
13.300001	52.70479060
13.400001	69.28677007
13.500001	-18.81923362
13.600001	-3.75008170
13.700001	98.44642898
13.800001	-10.99285367
