# F(k,t) correlation function
# Reference time: 800.166 ps
# lag_time_ps	F(k,t)
0.000000	6874.11441827
0.100000	845.85178630
0.200000	-818.04023492
0.300000	-212.85056624
0.400000	567.34535808
0.500000	714.73461450
0.600000	-752.53616017
0.700000	-791.80322061
0.800000	-927.29177857
0.900000	-710.48865140
1.000000	-649.09581918
1.100000	-391.64017047
1.200000	-372.40370775
1.300000	-1055.70272327
1.400000	-66.07435959
1.500000	-784.50465057
1.600000	-945.94306292
1.700000	-629.30874798
1.800000	574.89382293
1.900000	-544.87656447
2.000000	-254.48428864
2.100000	36.48367041
2.200000	-139.47651074
2.300000	1191.44478422
2.400000	1130.81789793
2.500000	395.30559868
2.600000	50.74090351
2.700000	1146.41724565
2.800000	670.66772412
2.900000	6.05076152
3.000000	-968.74591292
3.100000	-100.07059597
3.200000	188.07880611
3.300000	729.84175864
3.400000	783.74800283
3.500000	-163.82510857
3.600000	532.10432219
3.700000	956.41761020
3.800000	70.14849025
3.900000	62.50419254
4.000000	-742.79260157
4.100000	-531.02868713
4.200000	-1305.72253311
4.300000	-147.27024309
4.400000	-1097.60656656
4.500000	1116.67355075
4.600000	-111.84744270
4.700000	-933.83248141
4.800000	591.79557495
4.900000	81.96903519
5.000000	765.40181460
5.100000	172.53023077
5.200000	1233.68629686
5.300000	1039.74904587
5.400000	173.03274821
5.500000	-732.04298155
5.600000	-31.21547179
5.700000	-428.60273135
5.800000	246.21309590
5.900000	-85.78462773
6.000000	1327.02308570
6.100000	-420.49734273
6.200000	993.14393850
6.300000	541.39383242
6.400000	773.92303756
6.500000	-529.97771524
6.600000	-1408.90547337
6.700000	-107.09521313
6.800000	-308.48616043
6.900000	-737.40262019
7.000000	14.35416376
7.100000	465.62602787
7.200000	-1297.44593879
7.300000	-1338.07659932
7.400000	-14.75036200
7.500000	-1209.19310857
7.600000	-284.70634304
7.700000	-39.06469539
7.800000	77.84008504
7.900000	-1162.52904903
8.000000	-2673.57908098
8.100000	-434.83917695
8.200000	-802.74946185
8.300000	644.59613585
8.400000	-417.40869461
8.500000	-54.95094553
8.600000	-207.44259784
8.700000	-984.71967730
8.800000	83.44824871
8.900000	174.34481283
9.000000	-1125.93061171
9.100000	404.05125192
9.200000	-258.15117095
9.300000	319.39126273
9.400000	-1631.03212608
9.500000	-1124.24854724
9.600000	-761.00887907
9.700000	-1193.80911659
9.800000	-1871.66708946
9.900000	-190.80065313
10.000000	130.66589512
10.100000	-1693.74249020
10.200000	904.85590436
10.300000	508.59450231
10.400000	280.41701779
10.500000	259.89343584
10.600001	-638.85012589
10.700001	1199.64155638
10.800001	-118.43248636
10.900001	586.16306231
11.000001	961.45185239
11.100001	-1016.62722338
11.200001	-1019.13440863
11.300001	-1231.59252105
11.400001	-208.68778011
11.500001	-8.90355656
11.600001	-167.43756205
11.700001	755.78760622
11.800001	419.53847445
11.900001	-79.89243763
12.000001	-1049.08542173
12.100001	-105.47963150
12.200001	-31.36664309
12.300001	-1014.60676423
12.400001	660.97870400
12.500001	306.54313836
12.600001	533.31577276
12.700001	-393.86569218
12.800001	625.84904046
12.900001	16.97183087
13.000001	-726.00669349
13.100001	370.13059675
13.200001	-923.58205347
13.300001	-771.48929597
13.400001	338.96222615
13.500001	-307.01373163
13.600001	905.46266582
13.700001	712.46049181
13.800001	115.69101995
13.900001	-34.02673064
14.000001	428.52642278
14.100001	514.77838165
14.200001	-205.33426900
14.300001	-1270.97833179
14.400001	-1497.00067858
14.500001	201.36632424
14.600001	832.14891420
14.700001	599.10183346
14.800001	207.34174610
14.900001	-463.69723722
15.000001	399.78561742
15.100001	-568.62706762
15.200001	-41.86514802
15.300001	1136.57276062
15.400001	237.41718106
15.500001	250.03752868
15.600001	144.16805886
15.700001	-495.72276226
15.800001	634.23096199
15.900001	612.06838123
16.000001	34.68869040
16.100001	-690.03951406
16.200001	1655.10092960
16.300001	-134.96229804
16.400001	557.83864820
16.500001	-541.49912586
16.600001	-543.13313451
16.700001	-396.61741885
16.800001	1319.16894254
16.900001	562.83417015
17.000001	-599.22885455
17.100001	-1050.62646244
17.200001	905.08503430
17.300001	450.00424948
17.400001	417.86601576
17.500001	-854.14474498
17.600001	757.71969074
17.700001	-499.60499513
17.800001	-1407.48688121
17.900001	-1012.28952277
18.000001	-701.24754207
18.100001	-762.41575056
18.200001	478.13502256
18.300001	620.08151946
18.400001	1401.35797082
18.500001	1083.63103856
18.600001	-311.42673185
18.700001	-174.60466965
18.800001	133.10329031
18.900001	506.56300359
19.000001	129.38590166
19.100001	-384.84106091
19.200001	-624.74347869
19.300001	222.89805158
19.400001	708.71033351
19.500001	1131.66693160
19.600001	-366.09643038
19.700001	-785.80244940
19.800001	612.13403925
19.900001	-35.07982912
20.000001	-1145.80729443
20.100001	-520.34388767
20.200001	699.77782970
20.300001	229.14258232
20.400001	823.47196662
20.500001	-594.82466093
20.600001	-116.40478564
20.700001	-1706.61789906
20.800001	194.83602916
20.900001	969.47695440
21.000001	-76.59254858
21.100001	-601.84980243
21.200001	-706.98653212
21.300001	-201.21213955
21.400001	35.90472610
21.500001	424.13474707
21.600001	-1120.85668324
21.700001	-709.11269498
21.800001	-1081.17874684
21.900001	593.92827819
22.000001	1612.53250363
22.100001	882.94082982
22.200001	-708.40001239
22.300001	252.64218682
22.400001	347.90396111
22.500001	456.50838340
22.600001	-906.71200447
22.700001	-307.46791350
22.800001	19.99056641
22.900001	-849.83660216
23.000001	-1178.19180498
23.100001	-677.62080710
23.200001	222.54516954
23.300001	-470.10982176
23.400001	-868.42144424
23.500001	285.67150047
23.600001	444.19956117
23.700001	1608.44391331
23.800001	793.53688962
23.900001	-776.64052958
24.000001	-652.00473908
24.100001	31.51643068
24.200001	-1341.24253721
24.300001	-1005.01530114
24.400001	305.96574867
24.500001	-810.64920210
24.600001	527.37245217
24.700001	447.21391016
24.800001	-607.10079835
24.900001	-600.12922831
25.000001	-532.92381805
25.100001	813.67532722
25.200001	87.45023238
25.300001	39.15974091
25.400001	497.77213369
25.500001	-143.18460943
25.600001	1161.48859531
25.700001	1273.08103364
25.800001	-247.88090106
25.900001	83.38684867
26.000001	-546.48587657
26.100001	217.81195110
26.200001	-37.21785114
26.300001	-847.44078684
26.400001	-1041.07010610
26.500001	-1465.43797627
26.600001	-1290.39107060
26.700001	-574.92889642
26.800001	1707.61084059
26.900001	-755.70045319
27.000001	959.63899153
27.100001	-146.38778689
27.200001	-538.53773077
27.300001	931.70150290
27.400001	-343.64113564
27.500001	-140.36661696
27.600001	-754.29004906
27.700001	-1919.21753842
27.800001	-227.93365586
27.900001	229.88846717
28.000001	-1367.85637472
28.100001	301.72899394
28.200001	702.22582924
28.300001	457.93319514
28.400001	-552.66287406
28.500001	1210.90578090
28.600001	39.66440357
28.700001	181.77742984
28.800001	343.81939891
28.900001	-1296.89207859
29.000001	-710.15781397
29.100001	525.88111932
29.200001	140.60090644
29.300001	443.02426351
29.400001	55.09943741
29.500001	475.09761461
29.600001	921.60450133
29.700001	779.34183079
29.800001	-64.59479576
29.900001	-161.18552544
