# F(k,t) correlation function
# Reference time: 400.166 ps
# lag_time_ps	F(k,t)
0.000000	6930.80472764
0.100000	922.80564318
0.200000	-5.56048782
0.300000	397.46949449
0.400000	-857.91899263
0.500000	-234.43825935
0.600000	-1260.47619227
0.700000	974.75654387
0.800000	1434.92146104
0.900000	445.69339163
1.000000	121.94993140
1.100000	-1413.52424027
1.200000	786.46234358
1.300000	-450.33732704
1.400000	857.99391874
1.500000	-726.64659430
1.600000	649.14215563
1.700000	1093.27058783
1.800000	153.68244734
1.900000	-1250.57693773
2.000000	-1187.57873516
2.100000	-1219.83053433
2.200000	-206.07651758
2.300000	-853.97063531
2.400000	487.33466081
2.500000	-427.42062035
2.600000	-488.07225275
2.700000	682.92404008
2.800000	1055.12191651
2.900000	-906.07326544
3.000000	-105.79334543
3.100000	1512.47297204
3.200000	-237.59431978
3.300000	-760.42970296
3.400000	-279.44819336
3.500000	-539.89834702
3.600000	-88.76196551
3.700000	-1329.43197509
3.800000	226.92794182
3.900000	-548.06556991
4.000000	696.34362348
4.100000	270.40762521
4.200000	-426.71585640
4.300000	-587.02179556
4.400000	-760.96599485
4.500000	47.38250038
4.600000	1261.68072442
4.700000	268.71418100
4.800000	-1104.36314937
4.900000	1734.51232264
5.000000	762.45709664
5.100000	-1386.75765045
5.200000	-1064.04558503
5.300000	-1837.94490930
5.400000	-490.86151190
5.500000	-1402.92811792
5.600000	-638.11951423
5.700000	-1651.61171081
5.800000	-764.41781583
5.900000	-1578.51732291
6.000000	209.04518898
6.100000	-263.00539095
6.200000	177.39494957
6.300000	221.13233855
6.400000	466.91874814
6.500000	-50.84939373
6.600000	61.22196240
6.700000	599.63264335
6.800000	250.50623245
6.900000	-337.11463238
7.000000	-238.21528859
7.100000	1252.52748998
7.200000	115.15907528
7.300000	-708.08955747
7.400000	578.81013163
7.500000	795.77618290
7.600000	-990.73045731
7.700000	-1456.52551581
7.800000	495.79409869
7.900000	848.22549007
8.000000	580.71928871
8.100000	-542.52097349
8.200000	533.78039783
8.300000	-98.86114055
8.400000	-416.23009747
8.500000	-410.51689671
8.600000	-276.21540625
8.700000	-862.10799821
8.800000	128.93580891
8.900000	-100.83969620
9.000000	-319.38161651
9.100000	-114.57357125
9.200000	-774.24423948
9.300000	-253.18462535
9.400000	-1791.93438077
9.500000	-1334.82224304
9.600000	-1247.77576198
9.700000	-1082.32910166
9.800000	-520.06210191
9.900000	-251.89206934
10.000000	369.86003574
10.100000	-456.64764853
10.200000	-1068.00504567
10.300000	407.27694656
10.400000	-73.28708661
10.500000	960.16623169
10.600001	-1073.98006902
10.700001	-126.34278918
10.800001	676.16939584
10.900001	-504.06064774
11.000001	-56.14998724
11.100001	-1907.41637614
11.200001	197.37532593
11.300001	727.33327829
11.400001	-310.89656565
11.500001	-1575.57292177
11.600001	505.89956902
11.700001	-99.31729729
11.800001	648.10977874
11.900001	-307.46765939
12.000001	-319.75909358
12.100001	449.99267244
12.200001	1.16526726
12.300001	483.25317862
12.400001	953.68326313
