# F(k,t) correlation function
# Reference time: 200.142 ps
# lag_time_ps	F(k,t)
0.056972	3685.50721730
0.163113	772.62784531
0.293387	-963.46726424
0.396423	608.77358733
0.514221	785.58177246
0.641353	134.68591576
0.824284	-72.79240293
0.924284	-1170.99133444
1.024284	165.02007952
1.124284	194.59473066
1.224284	-2046.24238164
1.324284	-602.92574347
1.424284	-164.26523225
1.524284	-909.44137419
1.624284	74.80208930
1.724284	-418.19851156
1.824284	331.89786997
1.924284	106.35222715
2.024284	1408.94205003
2.124284	1252.25932586
2.224284	-468.21790487
2.324285	262.46034897
2.424285	935.96919204
2.524285	-175.73400908
2.624285	714.92000579
2.724285	-1315.95421465
2.824285	762.54379160
2.924285	870.83055978
3.024285	-637.38184649
3.124285	-145.50137495
3.224285	755.12891875
3.324285	727.73745784
3.424285	-177.03396938
3.524285	293.75720546
3.624285	-187.10282909
3.724285	-229.34216785
3.824285	-415.97151980
3.924285	-1160.82039208
4.024285	-37.89191450
4.124285	-457.38303808
4.224285	849.16632709
4.324285	744.35720721
4.424285	-196.32600894
4.524285	-1312.95653336
4.624285	-784.89150228
4.724285	-1442.73905399
4.824285	-387.06674790
4.924285	-131.15837008
5.024285	-207.14783631
5.124285	1000.07263921
5.224285	751.42222117
5.324285	1603.35621250
5.424285	577.81761189
5.524285	-807.83360442
5.624285	-229.92322676
5.724285	144.22146192
5.824285	-457.34851852
5.924285	-413.17537974
6.024285	-585.83171592
6.124285	885.97620666
6.224285	1509.49346941
6.324285	-1678.40053259
6.424285	446.42418853
6.524285	-679.15944108
6.624285	2202.50794168
6.724285	1009.52495810
6.824285	106.97444567
6.924285	-602.21045350
7.024285	464.41921588
7.124285	175.22044323
7.224285	-1312.65076386
7.324285	762.77009830
7.424285	257.29740662
7.524285	483.82423776
7.624285	-76.93851420
7.724285	167.71741896
7.824285	-771.32334644
7.924285	-1433.02399258
8.024285	-689.26878776
8.124285	465.23794423
8.224285	294.95700975
8.324285	-784.70132802
8.424285	30.82629430
8.524285	-439.86590199
8.624285	-886.48981127
8.724285	-660.85314103
8.824285	485.73082275
8.924285	-682.49857087
9.024285	44.82600427
9.124285	787.82355213
9.224285	1232.60535229
9.324285	514.60154153
9.424285	225.82071372
9.524285	-1667.07568971
9.624285	-779.95039577
9.724285	1090.26068313
9.824285	-222.88966042
9.924285	112.21632865
10.024285	848.87865720
10.124285	363.91794126
10.224285	-180.14186652
10.324285	-70.98784909
10.424285	-1676.58823147
10.524285	-707.99371221
10.624285	-325.37154229
10.724285	-171.47762273
10.824285	1882.50846508
10.924285	-654.45186753
11.024285	-658.00088123
11.124285	386.63026158
11.224285	-456.50997967
11.324285	613.62106302
11.424285	-216.93929696
11.524285	62.18935737
11.624285	-186.38201567
11.724285	-465.70063518
11.824285	60.61540223
11.924285	-641.76336748
12.024285	-194.53974922
12.124285	-312.33442922
12.224285	363.52596785
12.324285	950.06447808
12.424285	46.79853861
12.524285	43.92197629
12.624285	-614.60283772
12.724285	-776.12991379
12.824285	-502.03073621
12.924285	1038.31040661
13.024285	1009.31374721
13.124285	714.27809196
13.224285	457.09584633
13.324285	-572.64009872
13.424285	-97.65544265
13.524285	-1526.49348511
13.624285	-795.83609311
13.724285	87.85169483
13.824285	1128.03380362
13.924285	-748.02618285
14.024285	296.23278152
14.124285	699.12835750
14.224285	80.78855770
14.324285	-104.82034337
14.424285	634.04684730
14.524285	475.13203246
14.624285	1125.73899666
14.724285	901.10525438
14.824285	-1955.54601601
14.924285	-1879.68744826
15.024285	-1485.03042734
15.124285	362.00917636
15.224285	28.42164356
15.324285	142.91238274
15.424285	1271.18417331
15.524285	-117.14057186
15.624285	-268.92675350
15.724285	-14.43913446
15.824285	1185.53284298
15.924285	1314.74177225
16.024285	2042.84577307
16.124285	705.83611834
16.224285	846.29825806
16.324285	-564.52966635
16.424285	488.62751842
16.524285	-1008.06458252
16.624285	-160.35568628
16.724285	-1339.08785914
16.824285	-167.79470273
16.924285	-1617.84587917
17.024285	-510.06501435
17.124285	63.64819684
17.224285	321.79087928
17.324285	-521.00427838
17.424285	1078.81836982
17.524285	-29.17463207
17.624285	-489.45767145
17.724285	-923.50182561
17.824285	-545.76209402
17.924285	390.84463196
18.024285	149.16615048
18.124285	1041.32511249
18.224285	822.28428446
18.324285	389.89304752
18.424285	519.01510295
18.524285	587.62321713
18.624285	338.45953317
18.724285	-595.81743461
18.824285	-11.13170047
18.924285	1514.25376046
19.024285	-572.25208928
19.124285	-865.55428594
19.224285	143.00397526
19.324285	-35.06894276
19.424285	1331.94058514
19.524285	-639.32114615
19.624285	238.93284121
19.724285	503.44052734
19.824285	-553.24600469
19.924285	-578.97362062
20.024285	-1059.18485454
20.124285	-653.25628895
20.224285	-75.20936116
20.324285	-4.38689212
20.424285	-1174.63068111
20.524285	-1463.13034828
20.624285	-2155.32659414
20.724285	1225.99800494
20.824285	-319.46577333
20.924285	-1830.64617726
21.024285	-648.11308628
21.124285	-796.41756657
21.224285	-198.70879454
21.324285	-1557.40162370
21.424285	-2257.62973419
21.524285	-380.95178964
21.624285	680.20264766
21.724285	-342.69749001
21.824285	152.62380654
21.924285	-270.57191846
22.024285	-1154.28774249
22.124285	310.33994851
22.224285	906.75278600
22.324285	-493.31139137
22.424285	383.96852048
22.524285	527.60884647
22.624285	-326.27704294
22.724285	-393.14310205
22.824285	192.10093533
22.924285	-841.22163444
23.024285	68.60051446
23.124285	457.28222413
23.224285	514.31605751
23.324285	-1119.06451126
23.424286	-1027.96037376
23.524286	-819.09789424
23.624286	1897.81940244
23.724286	48.21090259
23.824286	989.43608341
23.924286	-180.48891163
24.024286	151.15976969
24.124286	-584.46760725
24.224286	-1217.50058735
24.324286	-115.98208572
24.424286	50.83699325
24.524286	498.06365277
24.624286	-375.98319460
24.724286	-861.67551522
24.824286	1470.95860512
24.924286	521.84942830
25.024286	268.02590016
25.124286	-416.22739671
25.224286	665.19584513
25.324286	652.60663017
25.424286	-708.38287538
25.524286	-816.32369112
25.624286	164.39602912
25.724286	304.58708965
25.824286	-906.20502090
25.924286	246.49335491
26.024286	156.35773967
26.124286	-695.33080929
26.224286	-198.82355659
26.324286	1481.77081951
26.424286	214.05629758
26.524286	75.79490706
26.624286	-299.38162202
26.724286	-636.94361652
26.824286	-1776.37046940
26.924286	1426.01718930
27.024286	-1191.25051029
27.124286	1378.39724926
27.224286	133.81384704
27.324286	-157.42756705
27.424286	496.51771747
27.524286	-677.90178631
27.624286	142.99859423
27.724286	-1401.61832414
27.824286	939.96140320
27.924286	545.17684637
28.024286	-514.59899122
28.124286	-71.98266472
28.224286	-328.89227467
28.324286	-309.79208764
28.424286	686.17287452
28.524286	802.63408779
28.624286	-780.69301633
28.724286	540.17035641
28.824286	-1139.83691295
28.924286	-740.63803105
29.024286	435.67338100
29.124286	1393.35598129
29.224286	383.19052451
29.324286	353.23019890
29.424286	1095.99672957
29.524286	460.96242104
29.624286	740.27813142
29.724286	-355.16559680
29.824286	-733.66601994
29.924286	-845.68033461
30.024286	-1204.10195542
30.124286	275.25106685
30.224286	1934.33028128
30.324286	-486.35616086
30.424286	-24.56053341
30.524286	-327.61210615
30.624286	1627.10303597
30.724286	-592.67850819
30.824286	402.81312474
30.924286	786.12673025
31.024286	589.46342717
31.124286	-839.79049282
31.224286	-627.18540456
31.324286	1085.04861023
31.424286	-1159.63621062
31.524286	1258.51697990
31.624286	1113.70478412
31.724286	-1201.51192038
31.824286	-210.39547036
31.924286	-142.21031751
32.024286	2797.96299549
32.124286	597.34404297
32.224286	670.87112029
32.324286	-2163.24880274
32.424286	-1455.26632257
32.524286	359.10299992
32.624286	325.89897612
32.724286	-1145.12597949
32.824286	2265.53976670
32.924286	575.01092706
33.024286	1435.84897410
33.124286	768.55482959
33.224286	-721.69789431
33.324286	214.06568419
33.424286	-567.52100572
33.524286	-325.99866246
33.624286	-1093.63401679
33.724286	-1927.13012787
33.824286	-1538.08541097
33.924286	964.30287094
34.024286	761.53687198
34.124286	-880.26221948
34.224286	-2426.16318588
34.324286	-1317.20912415
34.424286	752.22307055
34.524286	863.55908102
34.624286	-846.24571698
34.724286	-681.53030576
34.824286	725.16673641
34.924286	-1021.27325463
35.024286	1382.80728553
35.124286	1784.18045523
35.224286	387.18775505
35.324286	378.16715028
35.424286	1141.70907261
35.524286	-483.07685704
35.624286	750.34370972
35.724286	1524.49927912
35.824286	31.42950983
35.924286	223.78168806
36.024286	913.85090155
36.124286	-902.87139223
36.224286	-1258.45229777
36.324286	-1887.52359627
36.424286	-283.28082520
36.524286	630.99189401
36.624286	-505.62288658
36.724286	995.98062807
36.824286	127.30295467
36.924286	-1261.46536833
37.024286	-356.50881300
37.124286	1457.42551836
37.224286	-610.24200971
37.324286	-382.23557044
37.424286	766.29498141
37.524286	-388.91905380
37.624286	-158.06150910
37.724286	593.04742116
37.824286	-115.03840269
37.924286	314.73459486
