# F(k,t) correlation function
# Reference time: 0.100 ps
# lag_time_ps	F(k,t)
0.000000	9330.28060848
0.100000	1230.36169662
0.200000	1307.19959255
0.300000	1630.09267893
0.400000	-1288.99334599
0.500000	90.49680859
0.600000	-1275.14499881
0.700000	-2970.25383665
0.800000	1163.21452036
0.900000	924.95291454
1.000000	-573.48400052
1.100000	-548.18107035
1.200000	-147.08274824
1.300000	241.81103395
1.400000	892.88903063
1.500000	1715.40034333
1.600000	-1820.67771329
1.700000	-696.79652840
1.800000	-262.91355614
1.900000	-527.05265219
2.000000	430.67649965
2.100000	-273.88403083
2.200000	-783.99595243
2.300000	628.92074651
2.400000	174.95374039
2.500000	876.18251878
2.600000	-1371.76933168
2.700000	-16.61106578
2.800000	11.92125469
2.900000	-1824.22698083
3.000000	228.09700388
3.100000	1512.74421132
3.200000	143.88412735
3.300000	1118.08312422
3.400000	1114.17249215
3.500000	576.15217872
3.600000	929.78141366
3.700000	258.65308192
3.800000	-892.52633197
3.900000	-1070.96154576
4.000000	-495.57266055
4.100000	-711.53483811
4.200000	4.92961014
4.300000	-501.00911460
4.400000	-953.06542268
4.500000	-275.08126957
4.600000	-14.37467171
4.700000	2320.35590324
4.800000	-788.56189051
4.900000	-114.47404657
5.000000	456.57961151
5.100000	373.34965827
5.200000	-176.37042724
5.300000	-580.58777611
5.400000	531.44944930
5.500000	471.15903533
5.600000	183.99571875
5.700000	-1513.84023116
5.800000	979.01966874
5.900000	901.11359744
6.000000	470.32364651
6.100000	-240.57306986
6.200000	95.77697954
6.300000	1017.44669885
6.400000	-121.98489204
6.500000	-204.50391982
6.600000	-129.15706454
6.700000	-56.41992306
6.800000	247.13185980
6.900000	-2000.05516422
7.000000	-575.42762289
7.100000	256.85840461
7.200000	-360.11388495
7.300000	523.26673548
7.400000	-367.82896248
7.500000	624.72952554
7.600000	-732.26403077
7.700000	-768.17296436
7.800000	-1499.47655313
7.900000	1032.66229773
8.000000	-746.38862860
8.100000	1553.26473911
8.200000	1673.87939251
8.300000	-492.99151605
8.400000	492.21555008
8.500000	720.26140803
8.600000	-93.56477009
8.700000	785.26859625
8.800000	785.72861102
8.900000	-1421.38231119
9.000000	-439.74123434
9.100000	-150.49098707
9.200000	336.90927669
9.300000	-1540.52805314
9.400000	-1673.46095103
9.500000	-101.11198364
9.600000	-102.40220421
9.700000	377.53362241
9.800000	-137.65751126
9.900000	-310.84197318
10.000000	-1343.54257700
10.100000	145.99435869
10.200000	2298.74825063
10.300000	-1067.22984312
10.400000	-1238.25550318
10.500000	600.23340350
10.600001	644.50429387
10.700001	271.75863989
10.800001	-28.58801446
10.900001	-266.14954347
11.000001	799.63810588
11.100001	-844.58391116
11.200001	163.09058216
11.300001	-125.54633070
11.400001	-710.22703337
11.500001	-732.71626700
11.600001	-380.56902808
11.700001	451.90451131
11.800001	1230.23365066
11.900001	192.59942152
12.000001	-222.63748234
12.100001	915.94942717
12.200001	734.52363585
12.300001	264.64526512
12.400001	681.90227868
12.500001	-24.84737308
12.600001	-623.35693691
12.700001	-354.68383882
12.800001	1148.22721937
