# F(k,t) correlation function
# Reference time: 1200.166 ps
# lag_time_ps	F(k,t)
0.000000	8744.28541092
0.100000	231.22288794
0.200000	299.68314605
0.300000	931.82520771
0.400000	-60.06369715
0.500000	337.09039310
0.600000	991.51851743
0.700000	918.01423525
0.800000	-1282.18789704
0.900000	-856.06187854
1.000000	-673.84130058
1.100000	-1019.74094668
1.200000	-348.25270092
1.300000	-1984.73220617
1.400000	1012.68760567
1.500000	-719.44046283
1.600000	-610.76735702
1.700000	229.45196022
1.800000	1777.32947655
1.900000	66.89394175
2.000000	155.42319426
2.100000	-376.00550408
2.200000	-89.47965110
2.300000	1453.25193936
2.400000	915.80426790
2.500000	-694.01647239
2.600000	-453.27020842
2.700000	-80.82902472
2.800000	-93.00660638
2.900000	-491.18406293
3.000000	1863.56163033
3.100000	-1063.86832301
3.200000	476.85910636
3.300000	2003.79686935
3.400000	713.32694479
3.500000	-1173.57697182
3.600000	345.22360452
3.700000	-1776.66667818
3.800000	-184.61838312
3.900000	-13.07558517
4.000000	592.19050932
4.100000	153.67895174
4.200000	125.98196966
4.300000	-147.58759964
4.400000	-190.86128841
4.500000	-335.91206129
4.600000	724.52559602
4.700000	1732.36683579
4.800000	3211.94958828
4.900000	-496.68837257
5.000000	543.09157076
5.100000	-2042.11998550
5.200000	-1212.33814682
5.300000	-784.83712579
5.400000	1334.52602142
5.500000	1089.09544513
5.600000	-330.64652554
5.700000	659.78551513
5.800000	1341.23625553
5.900000	105.68809747
6.000000	1104.69745449
6.100000	-917.19338372
6.200000	524.90311555
6.300000	932.25500288
6.400000	1134.10077050
6.500000	64.77002075
6.600000	-1382.27259875
6.700000	-476.35052367
6.800000	-104.80306806
6.900000	-2139.49346182
7.000000	-478.08324549
7.100000	657.26685307
7.200000	338.74068625
7.300000	621.41039778
7.400000	321.06033399
7.500000	-1443.55476427
7.600000	-499.88184149
7.700000	-462.03343676
7.800000	1023.61165109
7.900000	-66.01127531
8.000000	297.92468887
8.100000	-1165.25275601
8.200000	1228.16598427
8.300000	-269.56316570
8.400000	547.00030259
8.500000	-1268.26374469
8.600000	522.71189162
8.700000	835.37522134
8.800000	-150.30101657
8.900000	1900.67232299
9.000000	1010.95897556
9.100000	193.02936874
9.200000	-844.64342197
9.300000	-66.42445382
9.400000	1031.04298057
9.500000	667.52486342
9.600000	224.44320252
9.700000	944.19841412
9.800000	708.57073729
9.900000	-643.54098333
10.000000	-950.57396926
10.100000	-475.32059308
10.200000	-1233.30228892
10.300000	100.06112773
10.400000	-450.48982903
10.500000	841.36204833
10.600001	-44.91402888
10.700001	-596.14573353
10.800001	-662.43041218
10.900001	-284.27620038
11.000001	374.75821687
11.100001	498.63177497
11.200001	933.96358140
11.300001	-84.20376137
11.400001	116.02994999
11.500001	-1145.09466217
11.600001	-454.63454538
11.700001	-244.32302189
11.800001	486.91442522
11.900001	664.70995330
12.000001	1211.81152194
12.100001	1903.33049980
12.200001	-357.59836187
12.300001	2058.47089366
12.400001	11.70027887
12.500001	-707.01347454
12.600001	240.21496548
12.700001	-716.10191395
12.800001	1304.32106233
12.900001	743.14990255
13.000001	-386.94131476
13.100001	-1775.60110432
13.200001	69.81548480
13.300001	724.11737933
13.400001	-2385.53555795
13.500001	-270.93156853
13.600001	-1402.81702553
13.700001	768.62357792
13.800001	-98.13764269
13.900001	322.47248578
14.000001	-691.29303768
14.100001	755.70569941
14.200001	329.79903022
14.300001	1974.84808198
14.400001	2036.94249839
14.500001	-154.78144847
14.600001	-24.06241757
14.700001	37.57414968
14.800001	1309.51391131
14.900001	-69.54684736
15.000001	-406.02941123
15.100001	1327.23463322
15.200001	-762.27341548
15.300001	-187.32682410
15.400001	823.07628784
15.500001	464.73802318
15.600001	-319.72505401
15.700001	-132.36301632
15.800001	-761.17848107
15.900001	9.44692061
16.000001	92.45599367
16.100001	1464.65295696
16.200001	-1358.56153596
16.300001	-377.77228661
16.400001	1004.57661885
16.500001	1029.64341174
16.600001	-198.60377241
16.700001	1663.98155780
16.800001	1264.05527736
16.900001	-192.09565972
17.000001	413.17284436
17.100001	657.76633164
17.200001	-480.30695346
17.300001	499.12930352
17.400001	-106.44984955
17.500001	50.37596044
17.600001	265.27604395
17.700001	-451.68034258
17.800001	1624.86649930
17.900001	384.32565054
18.000001	1036.53899993
18.100001	-1732.63391132
18.200001	-1520.45404563
18.300001	-499.55629271
18.400001	-904.26563072
18.500001	-273.88426101
18.600001	-709.44844901
18.700001	347.70623708
18.800001	692.23696576
18.900001	-381.57998870
19.000001	-656.22220363
19.100001	22.59409605
19.200001	-353.36847482
19.300001	-1184.89160132
19.400001	562.58041536
19.500001	1704.81710004
19.600001	1114.45483701
19.700001	-260.87461205
19.800001	198.96709153
19.900001	-1173.81691244
20.000001	-326.84814834
20.100001	-360.94758574
20.200001	249.79787158
20.300001	-364.22666291
20.400001	1147.27497120
20.500001	1648.44476202
20.600001	-2048.02340635
20.700001	-751.51220867
20.800001	-186.94295740
20.900001	804.38130452
21.000001	-346.70730388
21.100001	547.75875290
21.200001	1125.99600078
21.300001	316.27077991
21.400001	-1350.66158642
21.500001	-660.47679043
21.600001	-1862.33623785
21.700001	394.99362625
21.800001	-763.61981521
21.900001	-654.66956579
22.000001	456.47173110
22.100001	789.02466580
22.200001	-292.82709253
22.300001	-59.26730217
22.400001	-1.86093469
22.500001	528.27408724
22.600001	198.14211491
22.700001	395.94933163
22.800001	1833.43272585
22.900001	-291.61352216
23.000001	-1193.34763108
23.100001	1037.47835835
23.200001	-142.26698367
23.300001	-1341.34203090
23.400001	226.12136120
23.500001	-130.30381803
23.600001	-1496.03342798
23.700001	10.43344650
23.800001	349.81702663
23.900001	476.12046001
24.000001	720.40383262
24.100001	-266.67380307
24.200001	74.11733783
24.300001	751.49811173
24.400001	543.45602941
24.500001	1855.12906922
24.600001	1002.33711223
24.700001	751.70560109
24.800001	-120.96750934
24.900001	-1949.21474229
25.000001	372.57937952
25.100001	1207.09159902
25.200001	1228.25945705
25.300001	636.10104272
25.400001	-737.09477323
25.500001	-7.37867527
25.600001	75.13713005
25.700001	-969.04922516
25.800001	-1520.48538573
25.900001	351.40933680
26.000001	-91.43807091
26.100001	-618.48199745
26.200001	878.44345309
26.300001	-604.06125648
26.400001	-714.35948819
26.500001	-78.50405239
26.600001	-1122.14527427
26.700001	-856.82352822
26.800001	500.78960953
26.900001	-514.34880585
27.000001	567.22068767
27.100001	970.40116059
27.200001	-409.03795897
27.300001	-951.24187250
27.400001	-768.18343554
27.500001	-1217.06925266
27.600001	-392.76864120
27.700001	-637.30942551
27.800001	767.73048980
27.900001	-609.88692470
28.000001	-1.23284520
28.100001	-502.42635085
28.200001	1265.29596696
28.300001	-1058.56572047
28.400001	237.40475979
28.500001	-502.83202729
28.600001	-190.86807009
28.700001	-102.16462009
28.800001	-153.76369893
28.900001	286.11484923
29.000001	297.67402402
29.100001	354.81616266
29.200001	495.65007488
29.300001	-490.65734100
29.400001	232.67409603
29.500001	-1354.54618393
29.600001	-644.33295717
29.700001	325.94391370
29.800001	661.04942827
29.900001	-478.41815528
30.000001	-546.17763957
30.100001	-811.46110136
30.200001	-507.85444193
30.300001	133.08259014
30.400001	206.51365591
30.500001	-381.46287131
30.600001	-418.70696925
30.700001	-1032.01159258
30.800001	-1007.78443044
30.900001	-1430.05801778
31.000001	-268.47272659
31.100001	-100.10612936
31.200001	358.87469961
31.300001	-1418.01062982
31.400001	-440.07651832
31.500001	1681.09575936
31.600002	-463.56625006
31.700002	14.13401240
31.800002	491.43834390
31.900002	829.70783107
32.000002	-1057.09249273
32.100002	104.11604951
32.200002	817.76974058
32.300002	1194.01937358
32.400002	-587.98416416
32.500002	-224.90154908
32.600002	-709.54770420
32.700002	-572.83433847
32.800002	-139.82598064
32.900002	-610.02084225
33.000002	-1264.84860486
33.100002	-255.17467448
33.200002	-1171.69331056
33.300002	-1489.54441061
33.400002	64.93006678
33.500002	-56.87009013
33.600002	-368.47072618
33.700002	411.86428331
33.800002	1525.30593067
33.900002	115.50420365
34.000002	134.36842246
34.100002	468.81898159
34.200002	-43.62280814
34.300002	-628.97042456
34.400002	1235.30267772
34.500002	-1548.28958175
34.600002	-143.62496522
34.700002	-119.60933737
34.800002	1487.37252857
34.900002	609.40147121
35.000002	-934.32393008
35.100002	-34.89550548
35.200002	-731.28629413
35.300002	-328.51242392
35.400002	299.96642704
35.500002	392.62997636
35.600002	1908.50561137
35.700002	-1434.21499042
35.800002	-916.61835305
35.900002	1710.82260411
36.000002	19.81071525
36.100002	1589.44666179
36.200002	-727.25961285
36.300002	-435.44674835
36.400002	-1172.70947889
36.500002	100.47533232
36.600002	-281.50121500
36.700002	-383.92311743
36.800002	-536.21327573
36.900002	128.25805435
37.000002	920.43636952
37.100002	768.79434881
37.200002	1765.45609513
37.300002	19.75330990
37.400002	-144.75965394
37.500002	705.66204926
37.600002	403.31446031
37.700002	-379.99357545
37.800002	-432.67443908
37.900002	-856.45662291
38.000002	589.04200072
38.100002	437.03505552
38.200002	-887.37273793
38.300002	-1164.92802419
38.400002	-384.98000903
38.500002	425.28979413
38.600002	1279.49495209
38.700002	507.96075393
38.800002	308.84395905
38.900002	2254.88052373
39.000002	717.64567472
39.100002	28.29088318
39.200002	-506.03860562
39.300002	-641.45676460
39.400002	1387.96435890
39.500002	2339.32807604
39.600002	1625.90992727
39.700002	-94.78127726
39.800002	-747.99226797
39.900002	-1830.51066909
40.000002	366.89429988
40.100002	-313.27998165
40.200002	-1381.35113545
40.300002	-1016.39836673
40.400002	145.48924496
40.500002	-1204.62652479
40.600002	545.14577980
40.700002	-1725.06638370
40.800002	-1.68621135
40.900002	1904.72062163
41.000002	1207.35530444
41.100002	1001.01866952
41.200002	-74.08360392
41.300002	-282.67196345
41.400002	1004.33242666
41.500002	484.97975391
41.600002	-61.12791371
41.700002	-969.11573047
41.800002	-795.63276193
41.900002	611.52600416
42.000002	-1147.18591272
42.100002	973.83319255
42.200002	-615.59245164
42.300002	88.62819462
42.400002	-778.35334209
42.500002	96.72290656
42.600002	572.04301524
42.700002	-461.88441962
42.800002	329.40681187
42.900002	685.13886606
43.000002	676.76179807
43.100002	-490.66356511
43.200002	1974.13249777
43.300002	-386.92081317
43.400002	1412.66888327
43.500002	-99.30969199
43.600002	-451.07648311
43.700002	-1084.48592152
43.800002	320.96821795
43.900002	-253.72340839
44.000002	-324.63651969
44.100002	220.79878969
44.200002	-642.43335274
44.300002	1756.14714951
44.400002	26.32472881
44.500002	18.93733286
44.600002	-479.16374419
44.700002	-1564.28287314
44.800002	13.09028992
44.900002	-637.35314984
45.000002	68.39013015
45.100002	1763.70001160
45.200002	1970.12485895
45.300002	548.70124474
45.400002	809.26220443
45.500002	109.74551295
45.600002	-261.16107382
45.700002	-1982.15583948
45.800002	1296.16941891
45.900002	-1028.00684975
46.000002	1567.58616267
46.100002	181.34056873
46.200002	-533.01096003
46.300002	61.29063699
46.400002	-360.08859076
46.500002	-317.73538422
46.600002	1297.91811454
46.700002	578.45932506
46.800002	1155.44566663
46.900002	470.22746108
47.000002	177.57918169
47.100002	-105.36467037
47.200002	108.64809693
47.300002	-562.13334597
47.400002	-538.69248125
47.500002	89.72471107
47.600002	-638.74788634
47.700002	2295.93937679
47.800002	-596.15910032
47.900002	1993.41934833
48.000002	-272.76384457
48.100002	736.72987419
48.200002	-522.46399735
48.300002	-1463.26680226
48.400002	-457.45263566
48.500002	165.74556104
48.600002	395.99638886
48.700002	-317.58165236
48.800002	927.91552980
48.900002	198.18116533
49.000002	167.28546052
49.100002	-460.75924086
49.200002	-463.32437554
49.300002	-668.07897630
49.400002	-398.47341170
49.500002	84.95551320
49.600002	-294.08894553
49.700002	-597.37358146
49.800002	277.96241723
49.900002	383.88618949
50.000002	-114.23834557
50.100002	228.56537923
50.200002	-865.74306882
50.300002	1293.04964016
50.400002	193.15589852
50.500002	2259.10191949
50.600002	915.15580958
50.700002	887.06837064
50.800002	-272.30321939
50.900002	-1466.96984986
51.000002	661.04452928
51.100002	-873.71002861
51.200002	-346.32606705
51.300002	-777.35399267
51.400002	-1649.02610447
51.500002	208.25616111
51.600002	-155.13388062
51.700002	272.49095183
51.800002	438.37624275
51.900002	117.04663349
52.000002	-224.60397233
52.100002	-1123.71455373
52.200002	756.22021763
52.300002	-1167.69208346
52.400002	277.58660450
52.500002	-34.18289779
52.600002	-1412.91448767
52.700003	1120.61826252
52.800003	1307.61297629
52.900003	1647.38699046
53.000003	15.86587704
53.100003	-1095.64898597
53.200003	2561.76784197
53.300003	1562.27318590
53.400003	521.09025121
53.500003	660.04049804
53.600003	-718.32282647
53.700003	774.53509615
53.800003	497.74128253
53.900003	-662.47950265
54.000003	369.83207884
54.100003	-1523.17538855
54.200003	1423.50035353
54.300003	1452.32251376
54.400003	344.56283146
54.500003	-1483.23462061
54.600003	-231.59024128
54.700003	416.74072340
54.800003	723.22696648
54.900003	401.74013131
55.000003	-362.47204340
55.100003	395.72940235
55.200003	-1841.24315670
55.300003	-1004.42988520
55.400003	-1500.02973299
55.500003	-1964.46267639
55.600003	-1691.01921408
55.700003	-1101.02387362
55.800003	-440.37042152
55.900003	83.41136245
56.000003	468.01225525
56.100003	464.73222552
56.200003	966.36565256
56.300003	485.30356364
56.400003	-1005.38762765
56.500003	-372.94934413
56.600003	2125.68975102
56.700003	1785.46084556
56.800003	-1147.33759972
56.900003	634.37803583
57.000003	1240.26179677
57.100003	-1502.44992427
57.200003	-308.80244662
57.300003	-366.91816471
57.400003	725.60116635
57.500003	215.76269384
57.600003	1859.23433007
57.700003	-1017.51432954
57.800003	814.84662801
57.900003	1287.55590157
58.000003	1056.84760787
58.100003	-416.42209906
58.200003	112.06252513
58.300003	-424.08967430
58.400003	-679.54959250
58.500003	-401.27080090
58.600003	-494.54064485
58.700003	68.93122942
58.800003	609.97324878
58.900003	-130.46381622
59.000003	838.35476650
59.100003	806.80042349
59.200003	-49.37783409
59.300003	252.34009394
59.400003	-1249.94630024
59.500003	469.66733831
59.600003	1403.48386453
59.700003	607.36824875
59.800003	-2232.38761571
59.900003	-1050.03410851
60.000003	255.51569612
60.100003	-141.62553403
60.200003	-964.31431285
60.300003	-264.35423747
60.400003	144.10245563
60.500003	242.01841500
60.600003	25.69057605
60.700003	-394.92416213
60.800003	-1092.23835994
60.900003	-1148.15250715
61.000003	-1365.24271959
61.100003	266.17209326
61.200003	444.90309509
61.300003	-680.69169212
61.400003	325.74152878
61.500003	-827.07349446
61.600003	436.72957180
61.700003	-807.02897043
61.800003	-412.55552628
61.900003	-313.21721353
62.000003	64.05423698
62.100003	-463.84654115
62.200003	-488.99942721
62.300003	-31.45471781
62.400003	-311.53181726
62.500003	-898.81876080
62.600003	-232.17502032
62.700003	-68.26531006
62.800003	-860.45134461
62.900003	870.23251832
63.000003	194.80309030
63.100003	-307.63002016
63.200003	-501.12032692
63.300003	173.07083370
63.400003	-633.06489260
63.500003	195.35939019
63.600003	343.76784344
63.700003	-546.00536216
63.800003	596.74724464
63.900003	-824.94629248
64.000003	-498.02083962
64.100003	-1235.65228896
64.200003	-1142.81468664
64.300003	-741.02805215
64.400003	-729.62236168
64.500003	-267.36395444
64.600003	-51.79789889
64.700003	-205.21826050
64.800003	-708.62796860
64.900003	-415.45498462
65.000003	255.32572318
65.100003	-896.43338061
65.200003	-212.92834143
65.300003	-1563.28117672
65.400003	-1172.08143610
65.500003	-971.88489375
65.600003	-385.10061631
65.700003	-209.91154063
65.800003	-1749.14424096
65.900003	-546.72071503
66.000003	-441.24467907
66.100003	-367.59643804
66.200003	-1474.42471778
66.300003	1082.00318283
66.400003	-316.64980499
66.500003	402.88351386
66.600003	49.86767803
66.700003	826.90312844
66.800003	1092.98861666
66.900003	787.95197230
67.000003	1141.20395058
67.100003	-1377.81589392
67.200003	721.51278720
67.300003	-552.78356483
67.400003	-731.02961435
67.500003	503.03208228
67.600003	1.95228808
67.700003	-579.17869679
67.800003	340.62547306
67.900003	990.56292288
68.000003	1489.43144889
68.100003	-18.62911426
68.200003	568.19252674
68.300003	673.91984407
68.400003	1016.61901282
68.500003	19.65262109
68.600003	-982.01930260
68.700003	-1376.03224954
68.800003	656.39106091
68.900003	618.82222578
69.000003	-26.92492744
69.100003	-363.07582353
69.200003	-426.57730058
69.300003	800.48145883
69.400003	398.16855653
69.500003	-197.77699308
69.600003	652.89798664
69.700003	824.54435346
69.800003	-1288.31376713
69.900003	-573.77250394
70.000003	-1220.82512931
70.100003	751.50668198
70.200003	-244.47615473
70.300003	-1350.47421421
70.400003	-306.16967789
70.500003	-1241.74919509
70.600003	-587.53763518
70.700003	-31.72124101
70.800003	241.60932143
70.900003	-531.20215583
71.000003	39.08657020
71.100003	-436.78780519
71.200003	-411.36657140
71.300003	-1045.15258124
71.400003	244.90757931
71.500003	-302.91362077
71.600003	-78.20620819
71.700003	239.86054995
71.800003	-700.08171510
71.900003	407.53673984
72.000003	1651.87497536
72.100003	2094.62858105
72.200003	479.98329462
72.300003	-157.42048737
72.400003	395.53283848
72.500003	530.38802191
72.600003	-1853.59969509
72.700003	-1662.11332064
72.800003	96.93816885
72.900003	1290.05331068
73.000003	750.06012762
73.100003	-451.68038016
73.200003	-999.94991016
73.300003	-654.36989953
73.400003	1547.07446648
73.500003	961.53534608
73.600003	697.50775468
73.700004	420.87308290
73.800004	188.73048214
73.900004	-1666.36488829
74.000004	-76.69008605
74.100004	-1336.82780188
74.200004	-292.87476209
74.300004	3155.56036948
74.400004	-961.46917988
74.500004	-782.84304785
74.600004	-121.96324844
74.700004	1210.42958824
74.800004	-1395.76541884
74.900004	-180.53415724
75.000004	557.58415982
75.100004	100.56887590
75.200004	690.11181920
75.300004	-1213.59450245
75.400004	609.75233426
75.500004	-246.47106728
75.600004	340.74406202
75.700004	153.57810680
75.800004	-1910.80144799
75.900004	516.62679335
76.000004	514.35996905
76.100004	851.39236304
76.200004	45.35837090
76.300004	-66.50254494
76.400004	461.67560955
76.500004	-1168.80058289
76.600004	290.98274325
76.700004	-200.39986430
76.800004	-121.88943277
76.900004	99.61837866
77.000004	-1060.63623520
77.100004	1458.34011469
77.200004	-182.11451117
77.300004	39.80048606
77.400004	151.04985306
77.500004	904.61957684
77.600004	49.16218857
77.700004	-315.42484488
77.800004	484.82979276
77.900004	-755.04611986
78.000004	-352.64974694
78.100004	757.38120648
78.200004	-47.81129966
78.300004	-40.07558690
78.400004	583.29543055
78.500004	-1488.03989801
78.600004	-811.94523841
78.700004	1451.77109881
78.800004	958.72100009
78.900004	2258.88640118
79.000004	-79.25033542
79.100004	-543.49196956
79.200004	312.40607330
79.300004	759.31221661
79.400004	708.68784210
79.500004	-313.32832972
79.600004	523.77284776
79.700004	571.24438576
79.800004	1005.25514080
79.900004	-231.12129008
80.000004	1163.21744878
80.100004	-147.16793441
80.200004	345.20692317
80.300004	905.90469690
80.400004	488.49099532
80.500004	1305.30856468
80.600004	2518.89048654
80.700004	380.58570119
80.800004	1665.20052277
80.900004	746.10023122
81.000004	-103.79811509
81.100004	396.81975371
81.200004	-169.15335278
81.300004	-426.81886833
81.400004	661.23609832
81.500004	-303.19473235
81.600004	-825.84771565
81.700004	-10.69041022
81.800004	-1450.79507910
81.900004	-483.71464355
82.000004	652.08927289
82.100004	548.99929587
82.200004	-396.44461402
82.300004	-36.31804949
82.400004	552.40713584
82.500004	1343.47200244
82.600004	868.73243056
82.700004	-659.98567169
82.800004	774.18727440
82.900004	1077.36198763
83.000004	1375.75857802
83.100004	541.14773310
83.200004	-803.03464736
83.300004	-814.57107398
83.400004	697.59032985
83.500004	271.87786703
83.600004	148.40941528
83.700004	-236.40341974
83.800004	588.98991028
83.900004	686.64821913
84.000004	539.37080579
84.100004	-997.54078616
84.200004	-1230.93243585
84.300004	-1825.32532176
84.400004	361.12588100
84.500004	1.94090834
84.600004	-408.97077570
84.700004	-585.17880984
84.800004	-218.65281782
84.900004	-747.44212482
85.000004	959.66873734
85.100004	933.31625770
85.200004	-746.45310677
85.300004	919.47562691
85.400004	235.80900125
85.500004	-235.02052784
85.600004	-350.51194838
85.700004	-297.65903293
85.800004	696.43223768
85.900004	-333.60147344
86.000004	-1122.54977058
86.100004	269.75323860
86.200004	149.03950662
86.300004	-312.14821515
86.400004	1137.59759396
86.500004	106.27179636
86.600004	438.53848443
86.700004	661.50081469
86.800004	-574.58633872
86.900004	1171.21395866
87.000004	557.69440364
87.100004	-183.72026622
87.200004	-553.10654572
87.300004	-1666.55017290
87.400004	864.40450764
87.500004	2215.26194928
87.600004	-472.04448989
87.700004	-1775.64935144
87.800004	999.31248508
87.900004	1042.59213591
88.000004	-695.70223873
88.100004	-67.33298786
88.200004	-738.17216811
88.300004	-208.04975317
88.400004	-235.25355937
88.500004	-517.86762805
88.600004	-283.77229917
88.700004	-792.67812607
88.800004	1431.12648291
88.900004	-1972.51353476
89.000004	514.21475176
89.100004	875.41387032
89.200004	-133.00989177
89.300004	-1058.48664760
89.400004	971.42404493
89.500004	1451.88204358
89.600004	62.64051179
89.700004	-344.96421752
89.800004	526.63647548
89.900004	-961.94690192
90.000004	-79.00698393
90.100004	20.65497859
90.200004	261.45199376
90.300004	1546.70930259
90.400004	1457.50470757
90.500004	1251.89051200
90.600004	618.54274595
90.700004	-1252.14500543
90.800004	-1412.07908814
90.900004	405.69367346
91.000004	-246.87976183
91.100004	1017.29929552
91.200004	16.53842570
91.300004	61.18966515
91.400004	52.47360872
91.500004	-272.73925219
91.600004	-777.66041699
91.700004	-211.06821364
91.800004	-237.01515314
91.900004	-1727.93605121
92.000004	309.63261455
92.100004	-490.56474612
92.200004	1715.57524588
92.300004	302.92046571
92.400004	1082.99507024
92.500004	-1099.04945160
92.600004	-695.55548812
92.700004	-1558.76994960
92.800004	230.50082090
92.900004	753.47485894
93.000004	375.70942706
93.100004	-484.10727282
93.200004	-11.22653954
93.300004	-546.88938753
93.400004	1003.96436787
93.500004	475.01705234
93.600004	893.68356158
93.700004	30.22381320
93.800004	754.55804387
93.900004	819.38432252
94.000004	-1108.03839469
94.100004	-818.82126249
94.200004	1344.89477507
94.300004	-1005.61386682
94.400004	417.07010262
94.500004	-515.36798496
94.600004	-749.91800356
94.700004	-1607.57972460
94.800005	-107.79357136
94.900005	204.71205955
95.000005	557.11396251
95.100005	967.29110873
95.200005	-813.49770827
95.300005	73.79225163
95.400005	-477.50112503
95.500005	499.84281845
95.600005	-705.26356415
95.700005	-507.56740495
95.800005	-1207.92160188
95.900005	-1237.31908174
96.000005	-337.05815968
96.100005	560.11355759
96.200005	1424.64819275
96.300005	605.76806520
96.400005	-348.73271818
96.500005	86.70040963
96.600005	399.88470946
96.700005	-1001.59638515
96.800005	-1184.11143996
96.900005	-262.18268372
97.000005	-101.76300717
97.100005	698.83638007
97.200005	-894.51788647
97.300005	-514.85081598
97.400005	1249.61595464
97.500005	-479.76035810
97.600005	-33.75045381
97.700005	-325.26346910
97.800005	1072.24656524
97.900005	1464.16440020
98.000005	771.56815856
98.100005	-568.63721953
98.200005	935.48965740
98.300005	1182.47449950
98.400005	-1010.02863649
98.500005	309.64026909
98.600005	117.54999040
98.700005	293.04053500
98.800005	-669.84205361
98.900005	469.36193420
99.000005	-361.67055527
99.100005	309.79298526
99.200005	-86.15339605
99.300005	-977.82820519
99.400005	-210.49126641
99.500005	-365.92816814
99.600005	597.62256342
99.700005	-867.72330857
99.800005	-64.66708524
99.900005	1128.80656771
100.000005	1133.91928356
100.100005	871.04989512
100.200005	-299.77821773
100.300005	-1545.89633870
100.400005	-2376.28362321
100.500005	85.83214576
