# F(k,t) correlation function
# Reference time: 1000.166 ps
# lag_time_ps	F(k,t)
0.000000	8718.55264384
0.100000	1925.35075019
0.200000	1140.41161312
0.300000	-55.08653309
0.400000	-532.94288518
0.500000	543.43340545
0.600000	-1216.22532430
0.700000	737.47557148
0.800000	120.18464679
0.900000	-826.55211801
1.000000	1086.64558103
1.100000	764.56619819
1.200000	-122.35080366
1.300000	-479.75213167
1.400000	-624.43698575
1.500000	-107.82053227
1.600000	306.85131477
1.700000	-148.92709510
1.800000	-92.28694958
1.900000	-1729.47509185
2.000000	-1536.92312436
2.100000	-1320.16225411
2.200000	-42.14559009
2.300000	-617.20696277
2.400000	-1121.23688971
2.500000	-566.80020936
2.600000	-354.62728306
2.700000	739.31742557
2.800000	433.46070972
2.900000	393.38677933
3.000000	236.39294414
3.100000	-746.99836546
3.200000	-148.12518131
3.300000	1024.67915901
3.400000	-687.27413761
3.500000	318.94637491
3.600000	23.04466096
3.700000	-1833.66116465
3.800000	240.17825867
3.900000	-747.64857366
4.000000	-2161.76266858
4.100000	869.99895625
4.200000	166.06564809
4.300000	-958.48148847
4.400000	-7.04105102
4.500000	1737.24263331
4.600000	805.42679823
4.700000	419.55133083
4.800000	-1567.99588824
4.900000	-47.24313392
5.000000	-565.16931003
5.100000	1465.54329338
5.200000	852.07785132
5.300000	610.72869811
5.400000	635.96712201
5.500000	-606.25173864
5.600000	-404.66452694
5.700000	259.61113731
5.800000	-276.45057349
5.900000	1390.37453353
6.000000	-750.84979016
6.100000	-369.58010617
6.200000	-115.63295185
6.300000	-1259.24767674
6.400000	-511.66793698
6.500000	775.67169670
6.600000	-495.68095955
6.700000	-505.02620724
6.800000	429.47182104
6.900000	343.96209069
7.000000	565.84347649
7.100000	2228.07573160
7.200000	-309.25916532
7.300000	-1840.34882851
7.400000	235.72349431
7.500000	-761.37798549
7.600000	463.94203934
7.700000	1711.92636736
7.800000	1160.05280613
7.900000	716.64642105
8.000000	56.74572183
