# F(k,t) correlation function
# Reference time: 600.166 ps
# lag_time_ps	F(k,t)
0.000000	7942.55244038
0.100000	712.62100264
0.200000	165.01537100
0.300000	-539.68075272
0.400000	225.01154031
0.500000	309.92590333
0.600000	-1106.15687198
0.700000	-262.23898733
0.800000	-1081.76269991
0.900000	859.08494277
1.000000	863.80350784
1.100000	-640.45105055
1.200000	-1722.75831512
1.300000	461.92710883
1.400000	-103.26421547
1.500000	-791.33117374
1.600000	15.40180675
1.700000	-1648.23796570
1.800000	797.72859641
1.900000	371.45734082
2.000000	-172.87018961
2.100000	-280.91132088
2.200000	-941.43337465
2.300000	-1781.82400239
2.400000	-967.07373079
2.500000	-20.12639235
2.600000	-37.99234676
2.700000	-814.77181380
2.800000	544.39694352
2.900000	506.27262388
3.000000	-1110.33318369
3.100000	315.06671275
3.200000	-761.86051791
3.300000	-1701.92502193
3.400000	-786.44861483
3.500000	519.81190251
3.600000	1426.80463256
3.700000	381.58073738
3.800000	-98.12720499
3.900000	98.12494349
4.000000	641.93098089
4.100000	-1005.96129474
4.200000	-252.59615921
4.300000	319.32856513
4.400000	499.10123882
4.500000	1148.30046691
4.600000	983.39885031
4.700000	-295.58695916
4.800000	617.98719467
4.900000	-801.56353836
5.000000	-6.19330919
5.100000	-609.82217241
5.200000	-638.19185934
5.300000	-940.84696982
5.400000	141.73960890
5.500000	-538.61883746
5.600000	-613.62712492
5.700000	-802.31163614
5.800000	-630.43013905
5.900000	-174.22986111
6.000000	-1237.38997760
6.100000	514.99361321
6.200000	421.82330001
6.300000	-581.61678761
6.400000	776.98481930
6.500000	103.19774260
6.600000	988.23545404
6.700000	332.52285847
6.800000	-564.25909877
6.900000	156.15578717
7.000000	520.60659292
7.100000	1596.23506881
7.200000	1477.58194201
7.300000	81.08006943
7.400000	-600.37352311
7.500000	-511.95536738
7.600000	399.87651997
7.700000	565.60707622
7.800000	1257.13005999
7.900000	-456.91515654
8.000000	-986.45876311
8.100000	-536.55499697
8.200000	263.40678985
8.300000	-368.58150113
8.400000	1461.36731327
8.500000	962.73342122
8.600000	498.44569704
8.700000	1421.73113924
8.800000	161.85500088
8.900000	382.71802596
9.000000	-938.60096135
9.100000	-363.45463332
9.200000	1872.88959499
9.300000	-24.77995622
9.400000	779.86553296
9.500000	-1070.86826469
9.600000	-494.94132471
9.700000	590.79726838
9.800000	729.78998290
9.900000	-1173.43812055
10.000000	-1409.41463928
10.100000	1080.73962193
10.200000	-6.63209378
10.300000	-934.56138289
10.400000	-571.09168012
10.500000	-844.72930581
10.600001	316.34333597
10.700001	-929.79770013
10.800001	-205.94003268
10.900001	22.22249277
11.000001	-735.71662331
11.100001	157.12542603
11.200001	15.85799396
11.300001	-929.10088055
11.400001	-255.41309649
11.500001	-739.22637396
11.600001	274.94232294
11.700001	-735.11640778
11.800001	-554.18427986
11.900001	-1640.10952745
12.000001	-666.58637456
12.100001	-595.01235048
12.200001	357.05596985
12.300001	653.43647144
12.400001	484.20684071
12.500001	182.93287277
12.600001	218.49524809
12.700001	126.86458002
12.800001	-634.46516999
12.900001	-1434.08539131
13.000001	849.72570079
13.100001	392.35564768
13.200001	-393.33920408
13.300001	-452.36652313
