# F(k,t) correlation function
# Reference time: 1400.166 ps
# lag_time_ps	F(k,t)
0.000000	7167.27394976
0.100000	777.09140243
0.200000	700.82240382
0.300000	-227.93534985
0.400000	-653.17435830
0.500000	-701.24045971
0.600000	1200.99922443
0.700000	119.69905240
0.800000	171.59410135
0.900000	-498.21079745
1.000000	-234.97870678
1.100000	402.49556456
1.200000	316.06749045
1.300000	-88.05238965
1.400000	-760.73330824
1.500000	-128.25354931
1.600000	-109.60873026
1.700000	-314.73012029
1.800000	254.58826786
1.900000	-74.11387403
2.000000	-1067.70526823
2.100000	-1608.30085981
2.200000	506.50679802
2.300000	-54.59101830
2.400000	300.89601358
2.500000	36.19246019
2.600000	-794.53106053
2.700000	1213.35075673
2.800000	-449.51042528
2.900000	-641.61755980
3.000000	842.35428751
3.100000	-127.35800063
3.200000	-711.49919793
3.300000	-1026.60993984
3.400000	513.90604520
3.500000	373.02445541
3.600000	623.55885159
3.700000	-954.79535424
3.800000	-254.69512052
3.900000	897.71301572
4.000000	373.26993198
4.100000	189.97565023
4.200000	-132.66890019
4.300000	-634.07489415
4.400000	-431.59011277
4.500000	-960.23514342
4.600000	-515.71825976
4.700000	467.52325834
4.800000	1132.33412052
4.900000	-171.25814623
5.000000	-244.16223504
5.100000	-585.73791549
5.200000	-982.00916033
5.300000	-447.06667668
5.400000	-233.36837751
5.500000	258.25703933
5.600000	396.27857340
5.700000	32.95960866
5.800000	224.92015325
5.900000	326.46461199
6.000000	688.50638440
6.100000	-560.54746074
6.200000	-1234.72366725
6.300000	1017.77155170
6.400000	19.49544949
6.500000	164.08265998
6.600000	-275.38453234
6.700000	-1188.94766155
6.800000	407.88583547
6.900000	60.02117622
7.000000	770.99985386
7.100000	1123.44627698
7.200000	1016.35105375
7.300000	1337.31397924
7.400000	465.98723640
7.500000	610.65197386
7.600000	1419.08606065
7.700000	-1011.27692858
7.800000	-554.62287513
7.900000	-368.38460865
8.000000	-400.26793033
8.100000	-1073.68993652
8.200000	-294.33386600
8.300000	628.20117046
8.400000	697.98735377
8.500000	-596.00127603
8.600000	-2151.58116845
8.700000	-243.51247068
8.800000	574.78810570
8.900000	-1200.91826548
9.000000	205.63535305
9.100000	199.82451881
9.200000	172.15605329
9.300000	480.41340359
9.400000	257.61476284
9.500000	83.34369531
9.600000	1593.35379022
9.700000	1139.60450397
9.800000	620.76661509
9.900000	-196.07853964
10.000000	1946.97025507
10.100000	344.12936883
10.200000	-399.61697719
10.300000	-419.53362590
10.400000	-264.75552178
10.500000	637.82149687
10.600001	930.87736469
10.700001	866.68241533
10.800001	655.26859763
10.900001	964.63367853
11.000001	373.53535108
11.100001	265.68450256
11.200001	53.79195978
11.300001	-361.73410310
11.400001	226.77669582
11.500001	-1985.25033396
11.600001	1489.22750094
11.700001	-575.03110005
11.800001	-1966.00261795
11.900001	85.30974081
12.000001	583.17547264
12.100001	880.19419242
12.200001	-1223.77578989
12.300001	-40.33586872
12.400001	-899.73494939
12.500001	749.16521947
12.600001	62.56348953
12.700001	-895.00966128
12.800001	-1275.95168888
12.900001	995.26999312
13.000001	1637.88297107
13.100001	457.23173876
13.200001	827.68128032
13.300001	-282.68940721
13.400001	644.70414352
13.500001	-1376.44712780
13.600001	828.02919299
13.700001	-209.91712868
13.800001	-107.65444476
13.900001	-434.63254409
14.000001	-204.62784700
14.100001	631.91698110
14.200001	-453.88212698
14.300001	985.18628095
14.400001	-1351.85286221
14.500001	244.99120009
14.600001	1173.04841676
14.700001	496.76282825
14.800001	-1061.27827925
14.900001	468.15315779
15.000001	-1383.17744795
15.100001	600.63150994
15.200001	-655.86681718
15.300001	830.66152792
15.400001	-453.05730039
15.500001	-126.73037160
15.600001	112.19021834
15.700001	532.61898314
15.800001	533.65854366
15.900001	-429.92869683
16.000001	-1240.51472173
16.100001	-172.80832071
16.200001	-996.83923125
16.300001	417.89827369
16.400001	-130.93137347
16.500001	-258.49310468
16.600001	-1293.57126762
16.700001	-550.18616091
16.800001	-100.22513034
16.900001	102.87879967
17.000001	769.47845847
17.100001	1060.61308298
17.200001	1482.91071630
17.300001	1033.31373902
17.400001	732.48612271
17.500001	-1053.56707202
17.600001	434.09471224
17.700001	179.40684692
17.800001	-890.20902996
17.900001	-190.34809320
18.000001	-106.89052989
18.100001	743.76918654
18.200001	1222.51509131
18.300001	-846.33466186
18.400001	995.39269654
18.500001	816.91977499
18.600001	1116.74302214
18.700001	1010.86392310
18.800001	-923.79832129
18.900001	-855.39487823
19.000001	-442.63393971
19.100001	-38.09107031
19.200001	889.17226069
19.300001	-354.82746138
19.400001	451.05823835
19.500001	-751.67318198
19.600001	-504.83859765
19.700001	-278.02591935
19.800001	227.15653457
19.900001	1406.97696164
20.000001	1056.73230963
20.100001	859.06668791
20.200001	-473.28139208
20.300001	1065.10264305
20.400001	-197.88665098
20.500001	467.80408512
20.600001	178.41165823
20.700001	-343.52811884
20.800001	-642.37545492
20.900001	93.12067150
21.000001	-98.81709533
21.100001	274.63217793
21.200001	1339.51601497
21.300001	-853.83931273
21.400001	-440.07584383
21.500001	391.08108901
21.600001	-274.34581398
21.700001	-753.98326255
21.800001	537.64085674
21.900001	-193.47091743
22.000001	206.48991969
22.100001	-558.19930877
22.200001	133.24923047
22.300001	-869.74070697
22.400001	-1582.41758233
22.500001	241.40233910
22.600001	276.81410259
22.700001	-207.63535129
22.800001	259.30051939
22.900001	-77.58081792
23.000001	-986.32926609
23.100001	-595.76186380
23.200001	-1059.25980170
23.300001	30.98291232
23.400001	517.68519541
23.500001	-702.99157806
23.600001	-1196.56940692
23.700001	-141.86658825
23.800001	-489.85109394
23.900001	397.25805426
24.000001	-51.77826543
24.100001	781.76182845
24.200001	-1159.06742840
24.300001	1037.94908097
24.400001	1566.94831367
24.500001	358.29802181
24.600001	-674.09570384
24.700001	-911.44864918
24.800001	713.42921607
24.900001	-655.89867275
25.000001	-755.69414489
25.100001	-1788.52013039
25.200001	-1167.30528591
25.300001	-732.97973069
25.400001	334.25406943
25.500001	579.89743169
25.600001	1283.40584875
25.700001	874.78410689
25.800001	-17.20576831
25.900001	-645.99440474
26.000001	-60.22374168
26.100001	720.43679506
26.200001	-1143.67520490
26.300001	-539.96453000
26.400001	-1060.35647547
26.500001	-691.03217281
26.600001	-1502.38840188
26.700001	-86.18615790
26.800001	-75.39574567
26.900001	-169.92810152
27.000001	-85.82681124
27.100001	-171.83377741
27.200001	-116.44965488
27.300001	-1547.60940049
27.400001	419.85501204
27.500001	2488.94379199
27.600001	172.30497860
27.700001	1051.69315014
27.800001	132.69207787
27.900001	-752.30861395
28.000001	118.87599677
28.100001	243.30701596
28.200001	-194.81532914
28.300001	-1725.80082297
28.400001	-76.57874093
28.500001	-483.12753002
28.600001	1090.37719349
28.700001	94.50132203
28.800001	442.57765215
28.900001	-637.72517544
29.000001	-31.29467284
29.100001	-1339.36116705
29.200001	-1451.47478127
29.300001	258.54540221
29.400001	-673.26614528
29.500001	-402.77257004
29.600001	-2464.19364251
29.700001	538.62574641
29.800001	-799.55997547
29.900001	1047.89360842
30.000001	-65.87963106
30.100001	-111.40395852
30.200001	233.19827618
30.300001	-970.61340942
30.400001	355.86069573
30.500001	-2471.99565112
30.600001	-659.90272120
30.700001	320.87198099
30.800001	-1677.51405717
30.900001	-1348.31175915
31.000001	1394.96784842
31.100001	599.88050166
31.200001	-1316.23376454
31.300001	-2551.18613113
31.400001	832.24511049
31.500001	-326.10429985
31.600002	752.04276007
31.700002	1022.36488268
31.800002	-558.19563592
31.900002	-522.68020488
32.000002	-484.75326836
32.100002	279.81611330
32.200002	-95.48459538
32.300002	734.31615666
32.400002	694.73662196
32.500002	1548.93806122
32.600002	1176.83290512
32.700002	339.38140291
32.800002	83.53007092
32.900002	203.83268381
33.000002	-300.36177903
33.100002	1172.71180127
33.200002	633.06579820
33.300002	-584.03152548
33.400002	446.06472225
33.500002	-111.94697681
33.600002	-128.42010476
33.700002	1434.81468732
33.800002	-928.26977154
33.900002	662.26844463
34.000002	673.45050890
34.100002	88.00533090
34.200002	497.09092742
34.300002	626.10453811
34.400002	2.44533714
34.500002	1413.67954910
34.600002	1502.70560778
34.700002	-798.47564802
34.800002	-900.71944215
34.900002	-1082.12054927
35.000002	69.28498271
35.100002	-599.25390828
35.200002	450.31193351
35.300002	-362.30450821
35.400002	-391.65687963
35.500002	328.88246134
35.600002	903.05071627
35.700002	519.07583341
35.800002	-35.10606202
35.900002	-840.13227307
36.000002	848.25697741
36.100002	804.08900025
36.200002	-620.82494872
36.300002	1023.75626038
36.400002	-242.07089333
36.500002	463.26396481
36.600002	364.49834493
36.700002	1342.61916894
36.800002	-1564.35040790
36.900002	-173.82332894
37.000002	-780.51352689
37.100002	579.94408128
37.200002	-52.66463199
37.300002	418.68212931
37.400002	1570.76044184
37.500002	426.65788562
37.600002	1476.49981181
37.700002	134.57003844
37.800002	-131.74815338
37.900002	419.99379436
38.000002	1129.88909960
38.100002	565.17704920
38.200002	-734.70174211
38.300002	709.07614789
38.400002	1859.85660337
38.500002	706.21258744
38.600002	146.88022205
38.700002	-1061.92046079
38.800002	-181.56601671
38.900002	676.17982171
39.000002	669.02573092
39.100002	343.94001559
39.200002	587.86761934
39.300002	1157.08850383
39.400002	818.39255487
39.500002	1124.18986408
39.600002	1354.41549704
39.700002	425.36006778
39.800002	491.20707255
39.900002	-924.67456512
40.000002	-341.12971618
40.100002	-632.80471594
40.200002	-639.51886959
40.300002	-837.44421048
40.400002	231.37229338
40.500002	1078.29099766
40.600002	2006.37957499
40.700002	-113.88085892
40.800002	1278.08048905
40.900002	1120.10271951
41.000002	492.96915549
41.100002	866.23912533
41.200002	-42.06918020
41.300002	117.51014432
41.400002	713.59440880
41.500002	583.15280359
41.600002	1053.71973467
41.700002	-397.15350514
41.800002	-640.48238004
41.900002	221.13099781
42.000002	1580.99767057
42.100002	74.42712770
42.200002	938.95869402
42.300002	-749.23416423
42.400002	-276.67069985
42.500002	340.23849332
42.600002	-880.20504788
42.700002	-1692.06640990
42.800002	998.77618666
42.900002	944.48799002
43.000002	-11.65565950
43.100002	-817.22648234
43.200002	-1370.39971266
43.300002	812.76167258
43.400002	98.91180240
43.500002	1408.19422033
43.600002	1125.70158889
43.700002	-4.74050592
43.800002	310.24770115
43.900002	1107.47625027
44.000002	1937.17883774
44.100002	-204.12311678
44.200002	-1362.02183720
44.300002	695.64048765
44.400002	358.67542839
44.500002	79.13298042
44.600002	-292.58163794
44.700002	108.74196666
44.800002	549.44611358
44.900002	-284.46808219
45.000002	-828.86562282
45.100002	-529.15256826
45.200002	-564.96482695
45.300002	98.92514374
45.400002	331.18464208
45.500002	-669.96474177
45.600002	-274.11777127
45.700002	-259.30537230
45.800002	1003.23488280
45.900002	-614.49183217
46.000002	-539.53519580
46.100002	97.92377751
46.200002	564.43825934
46.300002	783.15203583
46.400002	1769.57018593
46.500002	1722.98865550
46.600002	-147.66127015
46.700002	-338.03989072
46.800002	-1207.97896290
46.900002	689.99568262
47.000002	-80.60079398
47.100002	898.03693281
47.200002	-131.60952249
47.300002	513.08592299
47.400002	730.89540849
47.500002	520.54400864
47.600002	531.35629872
47.700002	134.09620422
47.800002	-982.02514372
47.900002	-963.52956068
48.000002	-1478.15296304
48.100002	-143.96673988
48.200002	-589.93591417
48.300002	29.76912653
48.400002	132.47317133
48.500002	974.57862890
48.600002	1108.05275483
48.700002	164.60510230
48.800002	647.47915502
48.900002	-551.37201616
49.000002	1.76558673
49.100002	-2233.40931656
49.200002	-730.16767192
49.300002	317.51624024
49.400002	910.35507840
49.500002	-1107.18316269
49.600002	-137.23140363
49.700002	-82.48138121
49.800002	-972.95635629
49.900002	514.89076424
50.000002	602.45397974
50.100002	90.54668942
50.200002	510.73066727
50.300002	431.98587490
50.400002	-972.73992086
50.500002	-221.73872823
50.600002	-965.48196775
50.700002	449.29735453
50.800002	1158.11669347
50.900002	1349.90877860
51.000002	-116.02364575
51.100002	1167.17163061
51.200002	168.84658211
51.300002	-895.13351130
51.400002	824.50395075
51.500002	-817.44619798
51.600002	308.90699848
51.700002	166.37308154
51.800002	-264.44620843
51.900002	240.69142260
52.000002	1142.59985253
52.100002	1067.10851302
52.200002	883.44015438
52.300002	23.00093519
52.400002	-355.34469237
52.500002	0.82808945
52.600002	1171.89116257
52.700003	55.51433482
52.800003	-482.72516427
52.900003	821.75996789
53.000003	2754.07057724
53.100003	1364.48438548
53.200003	-455.55679467
53.300003	-359.94235318
53.400003	-481.52090986
53.500003	900.59109498
53.600003	18.03346764
53.700003	148.42247463
53.800003	539.51006787
53.900003	-1010.70558750
54.000003	-1420.25275324
54.100003	-275.72082023
54.200003	381.78544645
54.300003	-812.35335590
54.400003	-248.42364478
54.500003	-1532.92171220
54.600003	538.93062265
54.700003	1129.06228708
54.800003	632.21869276
54.900003	1609.70038486
55.000003	-965.92620051
55.100003	-1306.09826893
55.200003	1536.58597768
55.300003	98.75000613
55.400003	208.01092561
55.500003	738.75854003
55.600003	1214.35437058
55.700003	-177.75851246
55.800003	242.30640965
55.900003	18.88510909
56.000003	-348.15968320
56.100003	-153.73616369
56.200003	-173.20355963
56.300003	577.52967708
56.400003	138.82350528
56.500003	2669.92724871
56.600003	34.63471682
56.700003	-967.52637881
56.800003	-164.92449953
56.900003	-251.95694460
57.000003	-1078.31208391
57.100003	-598.98744592
57.200003	-532.65661879
57.300003	-470.07217543
57.400003	-734.56374497
57.500003	663.22793813
57.600003	23.16787566
57.700003	253.41938525
57.800003	-41.53613342
57.900003	528.01432140
58.000003	-143.34812976
58.100003	1571.96092980
58.200003	-15.69765766
58.300003	-1195.33830137
58.400003	-2304.45600820
58.500003	-578.64926685
58.600003	492.03353611
58.700003	-499.78065456
58.800003	-258.83444075
58.900003	-333.75996477
59.000003	975.85848645
59.100003	-529.81580868
59.200003	-164.26361378
59.300003	352.23450039
59.400003	-791.64822433
59.500003	-156.57028159
59.600003	1491.00059383
